ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GAB,"Libreville,Port-Gentil",4438376,Children with any anemia,58.8,1,GA,Gabon,2012,GA2012DHS,CN_ANMC_C_ANY,104466010,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,CNANMCCANY,GADHS2012407001,2012,DHS,1824,491,,,1
GAB,North,1723182,Children with any anemia,65.2,1,GA,Gabon,2012,GA2012DHS,CN_ANMC_C_ANY,104466010,I,407002,1407020,Region,North,0,,0,1,CNANMCCANY,GADHS2012407002,2012,DHS,342,836,,,
GAB,Ogooué Ivindo,4979802,Children with any anemia,72.3,1,GA,Gabon,2012,GA2012DHS,CN_ANMC_C_ANY,104466010,I,407003,1407030,Region,..Ogooué Ivindo,0,,0,1,CNANMCCANY,GADHS2012407003,2012,DHS,156,563,,,1
GAB,Woleu Ntem,3917597,Children with any anemia,59.3,1,GA,Gabon,2012,GA2012DHS,CN_ANMC_C_ANY,104466010,I,407004,1407040,Region,..Woleu Ntem,0,,0,1,CNANMCCANY,GADHS2012407004,2012,DHS,187,273,,,1
GAB,East,2236871,Children with any anemia,51.1,1,GA,Gabon,2012,GA2012DHS,CN_ANMC_C_ANY,104466010,I,407005,1407050,Region,East,0,,0,1,CNANMCCANY,GADHS2012407005,2012,DHS,548,805,,,
GAB,Ogooué-Lolo,3590714,Children with any anemia,52.4,1,GA,Gabon,2012,GA2012DHS,CN_ANMC_C_ANY,104466010,I,407006,1407060,Region,..Ogooué-Lolo,0,,0,1,CNANMCCANY,GADHS2012407006,2012,DHS,129,350,,,1
GAB,Haut-Ogooué,5156473,Children with any anemia,50.6,1,GA,Gabon,2012,GA2012DHS,CN_ANMC_C_ANY,104466010,I,407007,1407070,Region,..Haut-Ogooué,0,,0,1,CNANMCCANY,GADHS2012407007,2012,DHS,420,455,,,1
GAB,West,5055988,Children with any anemia,68.8,1,GA,Gabon,2012,GA2012DHS,CN_ANMC_C_ANY,104466010,I,407008,1407080,Region,West,0,,0,1,CNANMCCANY,GADHS2012407008,2012,DHS,512,906,,,
GAB,Estuaire (excluding Libreville),3222915,Children with any anemia,70.4,1,GA,Gabon,2012,GA2012DHS,CN_ANMC_C_ANY,104466010,I,407009,1407090,Region,..Estuaire (excluding Libreville),0,,0,1,CNANMCCANY,GADHS2012407009,2012,DHS,342,314,,,1
GAB,Moyen-Ogooué,2433365,Children with any anemia,67.1,1,GA,Gabon,2012,GA2012DHS,CN_ANMC_C_ANY,104466010,I,407010,1407100,Region,..Moyen-Ogooué,0,,0,1,CNANMCCANY,GADHS2012407010,2012,DHS,122,313,,,1
GAB,Ogooué-Maritime (excluding Port-Gentil),3618363,Children with any anemia,62,1,GA,Gabon,2012,GA2012DHS,CN_ANMC_C_ANY,104466010,I,407011,1407110,Region,..Ogooué-Maritime (excluding Port-Gentil),0,,0,1,CNANMCCANY,GADHS2012407011,2012,DHS,48,279,,,1
GAB,South,1715269,Children with any anemia,64.5,1,GA,Gabon,2012,GA2012DHS,CN_ANMC_C_ANY,104466010,I,407012,1407120,Region,South,0,,0,1,CNANMCCANY,GADHS2012407012,2012,DHS,344,760,,,
GAB,Ngounié,3826501,Children with any anemia,62.3,1,GA,Gabon,2012,GA2012DHS,CN_ANMC_C_ANY,104466010,I,407013,1407130,Region,..Ngounié,0,,0,1,CNANMCCANY,GADHS2012407013,2012,DHS,244,422,,,1
GAB,Nyanga,1729960,Children with any anemia,69.8,1,GA,Gabon,2012,GA2012DHS,CN_ANMC_C_ANY,104466010,I,407014,1407140,Region,..Nyanga,0,,0,1,CNANMCCANY,GADHS2012407014,2012,DHS,100,338,,,1
GAB,"Libreville,Port-Gentil",4438375,Children with mild anemia,30.5,1,GA,Gabon,2012,GA2012DHS,CN_ANMC_C_MLD,104466020,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,CNANMCCMLD,GADHS2012407001,2012,DHS,1824,491,,,1
