ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GAB,"Libreville,Port-Gentil",3259767,Children severely stunted,3.9,1,GA,Gabon,2000,GA2000DHS,CN_NUTS_C_HA3,104236010,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,CNNUTSCHA3,GADHS2000407001,2000,DHS,1342,745,,,1
GAB,North,3169448,Children severely stunted,15.9,1,GA,Gabon,2000,GA2000DHS,CN_NUTS_C_HA3,104236010,I,407002,1407020,Region,North,0,,0,1,CNNUTSCHA3,GADHS2000407002,2000,DHS,422,608,,,1
GAB,East,5330467,Children severely stunted,12.2,1,GA,Gabon,2000,GA2000DHS,CN_NUTS_C_HA3,104236010,I,407005,1407050,Region,East,0,,0,1,CNNUTSCHA3,GADHS2000407005,2000,DHS,534,848,,,1
GAB,West,4521004,Children severely stunted,5.5,1,GA,Gabon,2000,GA2000DHS,CN_NUTS_C_HA3,104236010,I,407008,1407080,Region,West,0,,0,1,CNNUTSCHA3,GADHS2000407008,2000,DHS,393,570,,,1
GAB,South,5521684,Children severely stunted,12.3,1,GA,Gabon,2000,GA2000DHS,CN_NUTS_C_HA3,104236010,I,407012,1407120,Region,South,0,,0,1,CNNUTSCHA3,GADHS2000407012,2000,DHS,338,672,,,1
GAB,"Libreville,Port-Gentil",3259764,Children stunted,16.1,1,GA,Gabon,2000,GA2000DHS,CN_NUTS_C_HA2,104236020,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,CNNUTSCHA2,GADHS2000407001,2000,DHS,1342,745,,,1
GAB,North,3169447,Children stunted,38.2,1,GA,Gabon,2000,GA2000DHS,CN_NUTS_C_HA2,104236020,I,407002,1407020,Region,North,0,,0,1,CNNUTSCHA2,GADHS2000407002,2000,DHS,422,608,,,1
GAB,East,5330466,Children stunted,33.9,1,GA,Gabon,2000,GA2000DHS,CN_NUTS_C_HA2,104236020,I,407005,1407050,Region,East,0,,0,1,CNNUTSCHA2,GADHS2000407005,2000,DHS,534,848,,,1
GAB,West,4520991,Children stunted,22,1,GA,Gabon,2000,GA2000DHS,CN_NUTS_C_HA2,104236020,I,407008,1407080,Region,West,0,,0,1,CNNUTSCHA2,GADHS2000407008,2000,DHS,393,570,,,1
GAB,South,5521683,Children stunted,33.9,1,GA,Gabon,2000,GA2000DHS,CN_NUTS_C_HA2,104236020,I,407012,1407120,Region,South,0,,0,1,CNNUTSCHA2,GADHS2000407012,2000,DHS,338,672,,,1
GAB,"Libreville,Port-Gentil",3259766,Mean height for age of children,-0.6,1,GA,Gabon,2000,GA2000DHS,CN_NUTS_C_HAM,104236030,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,CNNUTSCHAM,GADHS2000407001,2000,DHS,1342,745,,,1
GAB,North,3169449,Mean height for age of children,-1.6,1,GA,Gabon,2000,GA2000DHS,CN_NUTS_C_HAM,104236030,I,407002,1407020,Region,North,0,,0,1,CNNUTSCHAM,GADHS2000407002,2000,DHS,422,608,,,1
GAB,East,5330434,Mean height for age of children,-1.4,1,GA,Gabon,2000,GA2000DHS,CN_NUTS_C_HAM,104236030,I,407005,1407050,Region,East,0,,0,1,CNNUTSCHAM,GADHS2000407005,2000,DHS,534,848,,,1
GAB,West,4521003,Mean height for age of children,-1,1,GA,Gabon,2000,GA2000DHS,CN_NUTS_C_HAM,104236030,I,407008,1407080,Region,West,0,,0,1,CNNUTSCHAM,GADHS2000407008,2000,DHS,393,570,,,1
GAB,South,5521682,Mean height for age of children,-1.4,1,GA,Gabon,2000,GA2000DHS,CN_NUTS_C_HAM,104236030,I,407012,1407120,Region,South,0,,0,1,CNNUTSCHAM,GADHS2000407012,2000,DHS,338,672,,,1
GAB,"Libreville,Port-Gentil",6595695,Children severely wasted,1.3,1,GA,Gabon,2000,GA2000DHS,CN_NUTS_C_WH3,104236040,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,CNNUTSCWH3,GADHS2000407001,2000,DHS,1342,745,,,1
GAB,North,3396713,Children severely wasted,0.7,1,GA,Gabon,2000,GA2000DHS,CN_NUTS_C_WH3,104236040,I,407002,1407020,Region,North,0,,0,1,CNNUTSCWH3,GADHS2000407002,2000,DHS,422,608,,,1
GAB,East,2633719,Children severely wasted,1.4,1,GA,Gabon,2000,GA2000DHS,CN_NUTS_C_WH3,104236040,I,407005,1407050,Region,East,0,,0,1,CNNUTSCWH3,GADHS2000407005,2000,DHS,534,848,,,1
GAB,West,3578163,Children severely wasted,1.4,1,GA,Gabon,2000,GA2000DHS,CN_NUTS_C_WH3,104236040,I,407008,1407080,Region,West,0,,0,1,CNNUTSCWH3,GADHS2000407008,2000,DHS,393,570,,,1
GAB,South,204904,Children severely wasted,1.4,1,GA,Gabon,2000,GA2000DHS,CN_NUTS_C_WH3,104236040,I,407012,1407120,Region,South,0,,0,1,CNNUTSCWH3,GADHS2000407012,2000,DHS,338,672,,,1
GAB,"Libreville,Port-Gentil",6595696,Children wasted,4.2,1,GA,Gabon,2000,GA2000DHS,CN_NUTS_C_WH2,104236050,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,CNNUTSCWH2,GADHS2000407001,2000,DHS,1342,745,,,1
GAB,North,3396714,Children wasted,2.3,1,GA,Gabon,2000,GA2000DHS,CN_NUTS_C_WH2,104236050,I,407002,1407020,Region,North,0,,0,1,CNNUTSCWH2,GADHS2000407002,2000,DHS,422,608,,,1
GAB,East,2633720,Children wasted,4.6,1,GA,Gabon,2000,GA2000DHS,CN_NUTS_C_WH2,104236050,I,407005,1407050,Region,East,0,,0,1,CNNUTSCWH2,GADHS2000407005,2000,DHS,534,848,,,1
GAB,West,3578194,Children wasted,3.9,1,GA,Gabon,2000,GA2000DHS,CN_NUTS_C_WH2,104236050,I,407008,1407080,Region,West,0,,0,1,CNNUTSCWH2,GADHS2000407008,2000,DHS,393,570,,,1
GAB,South,204908,Children wasted,4.6,1,GA,Gabon,2000,GA2000DHS,CN_NUTS_C_WH2,104236050,I,407012,1407120,Region,South,0,,0,1,CNNUTSCWH2,GADHS2000407012,2000,DHS,338,672,,,1
GAB,"Libreville,Port-Gentil",6595697,Children overweight,6.4,1,GA,Gabon,2000,GA2000DHS,CN_NUTS_C_WHP,104236060,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,CNNUTSCWHP,GADHS2000407001,2000,DHS,1342,745,,,1
GAB,North,3396748,Children overweight,3.3,1,GA,Gabon,2000,GA2000DHS,CN_NUTS_C_WHP,104236060,I,407002,1407020,Region,North,0,,0,1,CNNUTSCWHP,GADHS2000407002,2000,DHS,422,608,,,1
GAB,East,2633722,Children overweight,5.3,1,GA,Gabon,2000,GA2000DHS,CN_NUTS_C_WHP,104236060,I,407005,1407050,Region,East,0,,0,1,CNNUTSCWHP,GADHS2000407005,2000,DHS,534,848,,,1
GAB,West,3578195,Children overweight,4.3,1,GA,Gabon,2000,GA2000DHS,CN_NUTS_C_WHP,104236060,I,407008,1407080,Region,West,0,,0,1,CNNUTSCWHP,GADHS2000407008,2000,DHS,393,570,,,1
GAB,South,204909,Children overweight,4.1,1,GA,Gabon,2000,GA2000DHS,CN_NUTS_C_WHP,104236060,I,407012,1407120,Region,South,0,,0,1,CNNUTSCWHP,GADHS2000407012,2000,DHS,338,672,,,1
GAB,"Libreville,Port-Gentil",6595694,Mean weight for height of children,0.2,1,GA,Gabon,2000,GA2000DHS,CN_NUTS_C_WHM,104236070,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,CNNUTSCWHM,GADHS2000407001,2000,DHS,1342,745,,,1
GAB,North,3396712,Mean weight for height of children,0.3,1,GA,Gabon,2000,GA2000DHS,CN_NUTS_C_WHM,104236070,I,407002,1407020,Region,North,0,,0,1,CNNUTSCWHM,GADHS2000407002,2000,DHS,422,608,,,1
GAB,East,2633721,Mean weight for height of children,0.1,1,GA,Gabon,2000,GA2000DHS,CN_NUTS_C_WHM,104236070,I,407005,1407050,Region,East,0,,0,1,CNNUTSCWHM,GADHS2000407005,2000,DHS,534,848,,,1
GAB,West,3578162,Mean weight for height of children,0.1,1,GA,Gabon,2000,GA2000DHS,CN_NUTS_C_WHM,104236070,I,407008,1407080,Region,West,0,,0,1,CNNUTSCWHM,GADHS2000407008,2000,DHS,393,570,,,1
GAB,South,204910,Mean weight for height of children,0,1,GA,Gabon,2000,GA2000DHS,CN_NUTS_C_WHM,104236070,I,407012,1407120,Region,South,0,,0,1,CNNUTSCWHM,GADHS2000407012,2000,DHS,338,672,,,1
GAB,"Libreville,Port-Gentil",5174663,Children severely underweight,1.3,1,GA,Gabon,2000,GA2000DHS,CN_NUTS_C_WA3,104236080,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,CNNUTSCWA3,GADHS2000407001,2000,DHS,1342,745,,,1
GAB,North,5407691,Children severely underweight,3.6,1,GA,Gabon,2000,GA2000DHS,CN_NUTS_C_WA3,104236080,I,407002,1407020,Region,North,0,,0,1,CNNUTSCWA3,GADHS2000407002,2000,DHS,422,608,,,1
GAB,East,4321549,Children severely underweight,2.8,1,GA,Gabon,2000,GA2000DHS,CN_NUTS_C_WA3,104236080,I,407005,1407050,Region,East,0,,0,1,CNNUTSCWA3,GADHS2000407005,2000,DHS,534,848,,,1
