ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GAB,"Libreville,Port-Gentil",5561828,Children 2-14 who experienced only non-violent discipline,12.3,1,GA,Gabon,2019,GA2019DHS,CP_CDIS_C_NON,227906010,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,CPCDISCNON,GADHS2019407001,2019-21,DHS,1935,665,,,
GAB,Libreville,5271814,Children 2-14 who experienced only non-violent discipline,11.9,1,GA,Gabon,2019,GA2019DHS,CP_CDIS_C_NON,227906010,I,407015,1407013,Region,..Libreville,0,,0,1,CPCDISCNON,GADHS2019407015,2019-21,DHS,1557,363,,,1
GAB,Port-Gentil,6271931,Children 2-14 who experienced only non-violent discipline,13.9,1,GA,Gabon,2019,GA2019DHS,CP_CDIS_C_NON,227906010,I,407016,1407016,Region,..Port-Gentil,0,,0,1,CPCDISCNON,GADHS2019407016,2019-21,DHS,378,302,,,1
GAB,North,5627512,Children 2-14 who experienced only non-violent discipline,7.3,1,GA,Gabon,2019,GA2019DHS,CP_CDIS_C_NON,227906010,I,407002,1407020,Region,North,0,,0,1,CPCDISCNON,GADHS2019407002,2019-21,DHS,372,731,,,
GAB,Ogooué Ivindo,2027799,Children 2-14 who experienced only non-violent discipline,11.6,1,GA,Gabon,2019,GA2019DHS,CP_CDIS_C_NON,227906010,I,407003,1407030,Region,..Ogooué Ivindo,0,,0,1,CPCDISCNON,GADHS2019407003,2019-21,DHS,94,350,,,1
GAB,Woleu Ntem,4816014,Children 2-14 who experienced only non-violent discipline,5.8,1,GA,Gabon,2019,GA2019DHS,CP_CDIS_C_NON,227906010,I,407004,1407040,Region,..Woleu Ntem,0,,0,1,CPCDISCNON,GADHS2019407004,2019-21,DHS,278,381,,,1
GAB,East,2942864,Children 2-14 who experienced only non-violent discipline,8.6,1,GA,Gabon,2019,GA2019DHS,CP_CDIS_C_NON,227906010,I,407005,1407050,Region,East,0,,0,1,CPCDISCNON,GADHS2019407005,2019-21,DHS,411,681,,,
GAB,Ogooué-Lolo,3428583,Children 2-14 who experienced only non-violent discipline,7.4,1,GA,Gabon,2019,GA2019DHS,CP_CDIS_C_NON,227906010,I,407006,1407060,Region,..Ogooué-Lolo,0,,0,1,CPCDISCNON,GADHS2019407006,2019-21,DHS,99,361,,,1
GAB,Haut-Ogooué,6514857,Children 2-14 who experienced only non-violent discipline,9.1,1,GA,Gabon,2019,GA2019DHS,CP_CDIS_C_NON,227906010,I,407007,1407070,Region,..Haut-Ogooué,0,,0,1,CPCDISCNON,GADHS2019407007,2019-21,DHS,312,320,,,1
