ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GAB,"Libreville,Port-Gentil",6853784,Neonatal mortality rate,39,0,GA,Gabon,2000,GA2000DHS,CM_ECMR_C_NNR,63206010,I,407001,1407010,Region,"Libreville,Port-Gentil",14003,Ten years preceding the survey,0,1,CMECMRCNNR,GADHS2000407001,2000,DHS,,,29,48,1
GAB,North,738927,Neonatal mortality rate,39,0,GA,Gabon,2000,GA2000DHS,CM_ECMR_C_NNR,63206010,I,407002,1407020,Region,North,14003,Ten years preceding the survey,0,1,CMECMRCNNR,GADHS2000407002,2000,DHS,,,25,53,1
GAB,East,741679,Neonatal mortality rate,14,0,GA,Gabon,2000,GA2000DHS,CM_ECMR_C_NNR,63206010,I,407005,1407050,Region,East,14003,Ten years preceding the survey,0,1,CMECMRCNNR,GADHS2000407005,2000,DHS,,,9,20,1
GAB,West,2043986,Neonatal mortality rate,21,0,GA,Gabon,2000,GA2000DHS,CM_ECMR_C_NNR,63206010,I,407008,1407080,Region,West,14003,Ten years preceding the survey,0,1,CMECMRCNNR,GADHS2000407008,2000,DHS,,,14,29,1
GAB,South,2039197,Neonatal mortality rate,27,0,GA,Gabon,2000,GA2000DHS,CM_ECMR_C_NNR,63206010,I,407012,1407120,Region,South,14003,Ten years preceding the survey,0,1,CMECMRCNNR,GADHS2000407012,2000,DHS,,,18,35,1
GAB,"Libreville,Port-Gentil",747204,Postneonatal mortality rate,28,0,GA,Gabon,2000,GA2000DHS,CM_ECMR_C_PNR,63206020,I,407001,1407010,Region,"Libreville,Port-Gentil",14003,Ten years preceding the survey,0,1,CMECMRCPNR,GADHS2000407001,2000,DHS,,,20,36,1
GAB,North,6868427,Postneonatal mortality rate,43,0,GA,Gabon,2000,GA2000DHS,CM_ECMR_C_PNR,63206020,I,407002,1407020,Region,North,14003,Ten years preceding the survey,0,1,CMECMRCPNR,GADHS2000407002,2000,DHS,,,32,55,1
GAB,East,714296,Postneonatal mortality rate,21,0,GA,Gabon,2000,GA2000DHS,CM_ECMR_C_PNR,63206020,I,407005,1407050,Region,East,14003,Ten years preceding the survey,0,1,CMECMRCPNR,GADHS2000407005,2000,DHS,,,13,29,1
GAB,West,6768942,Postneonatal mortality rate,27,0,GA,Gabon,2000,GA2000DHS,CM_ECMR_C_PNR,63206020,I,407008,1407080,Region,West,14003,Ten years preceding the survey,0,1,CMECMRCPNR,GADHS2000407008,2000,DHS,,,15,38,1
GAB,South,706323,Postneonatal mortality rate,32,0,GA,Gabon,2000,GA2000DHS,CM_ECMR_C_PNR,63206020,I,407012,1407120,Region,South,14003,Ten years preceding the survey,0,1,CMECMRCPNR,GADHS2000407012,2000,DHS,,,22,42,1
GAB,"Libreville,Port-Gentil",2050026,Infant mortality rate,67,0,GA,Gabon,2000,GA2000DHS,CM_ECMR_C_IMR,63206030,I,407001,1407010,Region,"Libreville,Port-Gentil",14003,Ten years preceding the survey,0,1,CMECMRCIMR,GADHS2000407001,2000,DHS,,,55,78,1
GAB,North,2039167,Infant mortality rate,82,0,GA,Gabon,2000,GA2000DHS,CM_ECMR_C_IMR,63206030,I,407002,1407020,Region,North,14003,Ten years preceding the survey,0,1,CMECMRCIMR,GADHS2000407002,2000,DHS,,,64,100,1
GAB,East,6877492,Infant mortality rate,35,0,GA,Gabon,2000,GA2000DHS,CM_ECMR_C_IMR,63206030,I,407005,1407050,Region,East,14003,Ten years preceding the survey,0,1,CMECMRCIMR,GADHS2000407005,2000,DHS,,,25,45,1
GAB,West,6735121,Infant mortality rate,48,0,GA,Gabon,2000,GA2000DHS,CM_ECMR_C_IMR,63206030,I,407008,1407080,Region,West,14003,Ten years preceding the survey,0,1,CMECMRCIMR,GADHS2000407008,2000,DHS,,,36,60,1
GAB,South,6629129,Infant mortality rate,59,0,GA,Gabon,2000,GA2000DHS,CM_ECMR_C_IMR,63206030,I,407012,1407120,Region,South,14003,Ten years preceding the survey,0,1,CMECMRCIMR,GADHS2000407012,2000,DHS,,,44,73,1
GAB,"Libreville,Port-Gentil",6881374,Child mortality rate,30,0,GA,Gabon,2000,GA2000DHS,CM_ECMR_C_CMR,63206040,I,407001,1407010,Region,"Libreville,Port-Gentil",14003,Ten years preceding the survey,0,1,CMECMRCCMR,GADHS2000407001,2000,DHS,,,22,38,1
GAB,North,6737440,Child mortality rate,44,0,GA,Gabon,2000,GA2000DHS,CM_ECMR_C_CMR,63206040,I,407002,1407020,Region,North,14003,Ten years preceding the survey,0,1,CMECMRCCMR,GADHS2000407002,2000,DHS,,,31,56,1
GAB,East,6663270,Child mortality rate,18,0,GA,Gabon,2000,GA2000DHS,CM_ECMR_C_CMR,63206040,I,407005,1407050,Region,East,14003,Ten years preceding the survey,0,1,CMECMRCCMR,GADHS2000407005,2000,DHS,,,10,25,1
GAB,West,6732641,Child mortality rate,48,0,GA,Gabon,2000,GA2000DHS,CM_ECMR_C_CMR,63206040,I,407008,1407080,Region,West,14003,Ten years preceding the survey,0,1,CMECMRCCMR,GADHS2000407008,2000,DHS,,,34,61,1
GAB,South,6672009,Child mortality rate,31,0,GA,Gabon,2000,GA2000DHS,CM_ECMR_C_CMR,63206040,I,407012,1407120,Region,South,14003,Ten years preceding the survey,0,1,CMECMRCCMR,GADHS2000407012,2000,DHS,,,22,40,1
GAB,"Libreville,Port-Gentil",701847,Under-five mortality rate,95,0,GA,Gabon,2000,GA2000DHS,CM_ECMR_C_U5M,63206050,I,407001,1407010,Region,"Libreville,Port-Gentil",14003,Ten years preceding the survey,0,1,CMECMRCU5M,GADHS2000407001,2000,DHS,,,80,109,1
GAB,North,2039147,Under-five mortality rate,122,0,GA,Gabon,2000,GA2000DHS,CM_ECMR_C_U5M,63206050,I,407002,1407020,Region,North,14003,Ten years preceding the survey,0,1,CMECMRCU5M,GADHS2000407002,2000,DHS,,,99,146,1
GAB,East,6638009,Under-five mortality rate,52,0,GA,Gabon,2000,GA2000DHS,CM_ECMR_C_U5M,63206050,I,407005,1407050,Region,East,14003,Ten years preceding the survey,0,1,CMECMRCU5M,GADHS2000407005,2000,DHS,,,38,66,1
GAB,West,740956,Under-five mortality rate,94,0,GA,Gabon,2000,GA2000DHS,CM_ECMR_C_U5M,63206050,I,407008,1407080,Region,West,14003,Ten years preceding the survey,0,1,CMECMRCU5M,GADHS2000407008,2000,DHS,,,75,112,1
GAB,South,2039349,Under-five mortality rate,88,0,GA,Gabon,2000,GA2000DHS,CM_ECMR_C_U5M,63206050,I,407012,1407120,Region,South,14003,Ten years preceding the survey,0,1,CMECMRCU5M,GADHS2000407012,2000,DHS,,,70,105,1
GAB,"Libreville,Port-Gentil",715050,Neonatal mortality rate,26,0,GA,Gabon,2012,GA2012DHS,CM_ECMR_C_NNR,63206010,I,407001,1407010,Region,"Libreville,Port-Gentil",14003,Ten years preceding the survey,0,1,CMECMRCNNR,GADHS2012407001,2012,DHS,,,17,36,1
