ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GAB,"Libreville,Port-Gentil",819918,Total fertility rate 15-49,3.4,1,GA,Gabon,2000,GA2000DHS,FE_FRTR_W_TFR,11763080,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,FEFRTRWTFR,GADHS2000407001,2000,DHS,,,,,1
GAB,North,835265,Total fertility rate 15-49,5.8,1,GA,Gabon,2000,GA2000DHS,FE_FRTR_W_TFR,11763080,I,407002,1407020,Region,North,0,,0,1,FEFRTRWTFR,GADHS2000407002,2000,DHS,,,,,1
GAB,East,826753,Total fertility rate 15-49,5.1,1,GA,Gabon,2000,GA2000DHS,FE_FRTR_W_TFR,11763080,I,407005,1407050,Region,East,0,,0,1,FEFRTRWTFR,GADHS2000407005,2000,DHS,,,,,1
GAB,West,826757,Total fertility rate 15-49,5.2,1,GA,Gabon,2000,GA2000DHS,FE_FRTR_W_TFR,11763080,I,407008,1407080,Region,West,0,,0,1,FEFRTRWTFR,GADHS2000407008,2000,DHS,,,,,1
GAB,South,835307,Total fertility rate 15-49,5.2,1,GA,Gabon,2000,GA2000DHS,FE_FRTR_W_TFR,11763080,I,407012,1407120,Region,South,0,,0,1,FEFRTRWTFR,GADHS2000407012,2000,DHS,,,,,1
GAB,"Libreville,Port-Gentil",819901,General fertility rate,125,0,GA,Gabon,2000,GA2000DHS,FE_FRTR_W_GFR,11763100,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,FEFRTRWGFR,GADHS2000407001,2000,DHS,,,,,1
GAB,North,835283,General fertility rate,206,0,GA,Gabon,2000,GA2000DHS,FE_FRTR_W_GFR,11763100,I,407002,1407020,Region,North,0,,0,1,FEFRTRWGFR,GADHS2000407002,2000,DHS,,,,,1
GAB,East,826734,General fertility rate,182,0,GA,Gabon,2000,GA2000DHS,FE_FRTR_W_GFR,11763100,I,407005,1407050,Region,East,0,,0,1,FEFRTRWGFR,GADHS2000407005,2000,DHS,,,,,1
GAB,West,826736,General fertility rate,190,0,GA,Gabon,2000,GA2000DHS,FE_FRTR_W_GFR,11763100,I,407008,1407080,Region,West,0,,0,1,FEFRTRWGFR,GADHS2000407008,2000,DHS,,,,,1
GAB,South,835332,General fertility rate,185,0,GA,Gabon,2000,GA2000DHS,FE_FRTR_W_GFR,11763100,I,407012,1407120,Region,South,0,,0,1,FEFRTRWGFR,GADHS2000407012,2000,DHS,,,,,1
GAB,"Libreville,Port-Gentil",820051,Median age at first birth for women age 25-49,18.9,1,GA,Gabon,2000,GA2000DHS,FE_AAFB_W_M2B,12103080,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,FEAAFBWM2B,GADHS2000407001,2000,DHS,,,,,1
GAB,North,835370,Median age at first birth for women age 25-49,18,1,GA,Gabon,2000,GA2000DHS,FE_AAFB_W_M2B,12103080,I,407002,1407020,Region,North,0,,0,1,FEAAFBWM2B,GADHS2000407002,2000,DHS,,,,,1
GAB,East,826854,Median age at first birth for women age 25-49,18.2,1,GA,Gabon,2000,GA2000DHS,FE_AAFB_W_M2B,12103080,I,407005,1407050,Region,East,0,,0,1,FEAAFBWM2B,GADHS2000407005,2000,DHS,,,,,1
