ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GAB,"Libreville,Port-Gentil",819904,Age specific fertility rate: 15-19,114,0,GA,Gabon,2000,GA2000DHS,FE_FRTR_W_A15,11763010,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,FEFRTRWA15,GADHS2000407001,2000,DHS,,,,,1
GAB,North,835263,Age specific fertility rate: 15-19,199,0,GA,Gabon,2000,GA2000DHS,FE_FRTR_W_A15,11763010,I,407002,1407020,Region,North,0,,0,1,FEFRTRWA15,GADHS2000407002,2000,DHS,,,,,1
GAB,East,826739,Age specific fertility rate: 15-19,166,0,GA,Gabon,2000,GA2000DHS,FE_FRTR_W_A15,11763010,I,407005,1407050,Region,East,0,,0,1,FEFRTRWA15,GADHS2000407005,2000,DHS,,,,,1
GAB,West,826755,Age specific fertility rate: 15-19,186,0,GA,Gabon,2000,GA2000DHS,FE_FRTR_W_A15,11763010,I,407008,1407080,Region,West,0,,0,1,FEFRTRWA15,GADHS2000407008,2000,DHS,,,,,1
GAB,South,835305,Age specific fertility rate: 15-19,159,0,GA,Gabon,2000,GA2000DHS,FE_FRTR_W_A15,11763010,I,407012,1407120,Region,South,0,,0,1,FEFRTRWA15,GADHS2000407012,2000,DHS,,,,,1
GAB,"Libreville,Port-Gentil",819897,Age specific fertility rate: 20-24,163,0,GA,Gabon,2000,GA2000DHS,FE_FRTR_W_A20,11763020,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,FEFRTRWA20,GADHS2000407001,2000,DHS,,,,,1
GAB,North,835279,Age specific fertility rate: 20-24,264,0,GA,Gabon,2000,GA2000DHS,FE_FRTR_W_A20,11763020,I,407002,1407020,Region,North,0,,0,1,FEFRTRWA20,GADHS2000407002,2000,DHS,,,,,1
GAB,East,826725,Age specific fertility rate: 20-24,224,0,GA,Gabon,2000,GA2000DHS,FE_FRTR_W_A20,11763020,I,407005,1407050,Region,East,0,,0,1,FEFRTRWA20,GADHS2000407005,2000,DHS,,,,,1
GAB,West,826730,Age specific fertility rate: 20-24,244,0,GA,Gabon,2000,GA2000DHS,FE_FRTR_W_A20,11763020,I,407008,1407080,Region,West,0,,0,1,FEFRTRWA20,GADHS2000407008,2000,DHS,,,,,1
GAB,South,835298,Age specific fertility rate: 20-24,253,0,GA,Gabon,2000,GA2000DHS,FE_FRTR_W_A20,11763020,I,407012,1407120,Region,South,0,,0,1,FEFRTRWA20,GADHS2000407012,2000,DHS,,,,,1
GAB,"Libreville,Port-Gentil",819898,Age specific fertility rate: 25-29,139,0,GA,Gabon,2000,GA2000DHS,FE_FRTR_W_A25,11763030,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,FEFRTRWA25,GADHS2000407001,2000,DHS,,,,,1
GAB,North,835280,Age specific fertility rate: 25-29,280,0,GA,Gabon,2000,GA2000DHS,FE_FRTR_W_A25,11763030,I,407002,1407020,Region,North,0,,0,1,FEFRTRWA25,GADHS2000407002,2000,DHS,,,,,1
GAB,East,826726,Age specific fertility rate: 25-29,218,0,GA,Gabon,2000,GA2000DHS,FE_FRTR_W_A25,11763030,I,407005,1407050,Region,East,0,,0,1,FEFRTRWA25,GADHS2000407005,2000,DHS,,,,,1
GAB,West,826731,Age specific fertility rate: 25-29,225,0,GA,Gabon,2000,GA2000DHS,FE_FRTR_W_A25,11763030,I,407008,1407080,Region,West,0,,0,1,FEFRTRWA25,GADHS2000407008,2000,DHS,,,,,1
