ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GAB,"Libreville,Port-Gentil",819904,Age specific fertility rate: 15-19,114,0,GA,Gabon,2000,GA2000DHS,FE_FRTR_W_A15,11763010,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,FEFRTRWA15,GADHS2000407001,2000,DHS,,,,,1
GAB,North,835263,Age specific fertility rate: 15-19,199,0,GA,Gabon,2000,GA2000DHS,FE_FRTR_W_A15,11763010,I,407002,1407020,Region,North,0,,0,1,FEFRTRWA15,GADHS2000407002,2000,DHS,,,,,1
GAB,East,826739,Age specific fertility rate: 15-19,166,0,GA,Gabon,2000,GA2000DHS,FE_FRTR_W_A15,11763010,I,407005,1407050,Region,East,0,,0,1,FEFRTRWA15,GADHS2000407005,2000,DHS,,,,,1
GAB,West,826755,Age specific fertility rate: 15-19,186,0,GA,Gabon,2000,GA2000DHS,FE_FRTR_W_A15,11763010,I,407008,1407080,Region,West,0,,0,1,FEFRTRWA15,GADHS2000407008,2000,DHS,,,,,1
GAB,South,835305,Age specific fertility rate: 15-19,159,0,GA,Gabon,2000,GA2000DHS,FE_FRTR_W_A15,11763010,I,407012,1407120,Region,South,0,,0,1,FEFRTRWA15,GADHS2000407012,2000,DHS,,,,,1
GAB,"Libreville,Port-Gentil",5846624,Current use of any modern method of contraception (all women),17.7,1,GA,Gabon,2000,GA2000DHS,FP_CUSA_W_MOD,32603020,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,FPCUSAWMOD,GADHS2000407001,2000,DHS,3525,1957,,,1
GAB,North,2714490,Current use of any modern method of contraception (all women),7.7,1,GA,Gabon,2000,GA2000DHS,FP_CUSA_W_MOD,32603020,I,407002,1407020,Region,North,0,,0,1,FPCUSAWMOD,GADHS2000407002,2000,DHS,699,1002,,,1
GAB,East,4749551,Current use of any modern method of contraception (all women),13,1,GA,Gabon,2000,GA2000DHS,FP_CUSA_W_MOD,32603020,I,407005,1407050,Region,East,0,,0,1,FPCUSAWMOD,GADHS2000407005,2000,DHS,811,1273,,,1
GAB,West,3947845,Current use of any modern method of contraception (all women),9.3,1,GA,Gabon,2000,GA2000DHS,FP_CUSA_W_MOD,32603020,I,407008,1407080,Region,West,0,,0,1,FPCUSAWMOD,GADHS2000407008,2000,DHS,592,868,,,1
GAB,South,2713953,Current use of any modern method of contraception (all women),7.6,1,GA,Gabon,2000,GA2000DHS,FP_CUSA_W_MOD,32603020,I,407012,1407120,Region,South,0,,0,1,FPCUSAWMOD,GADHS2000407012,2000,DHS,556,1083,,,1
GAB,"Libreville,Port-Gentil",5846618,Current use of female sterilization (all women),0.9,1,GA,Gabon,2000,GA2000DHS,FP_CUSA_W_FST,32603030,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,FPCUSAWFST,GADHS2000407001,2000,DHS,3525,1957,,,1
GAB,North,2714515,Current use of female sterilization (all women),0.6,1,GA,Gabon,2000,GA2000DHS,FP_CUSA_W_FST,32603030,I,407002,1407020,Region,North,0,,0,1,FPCUSAWFST,GADHS2000407002,2000,DHS,699,1002,,,1
GAB,East,4749545,Current use of female sterilization (all women),0.5,1,GA,Gabon,2000,GA2000DHS,FP_CUSA_W_FST,32603030,I,407005,1407050,Region,East,0,,0,1,FPCUSAWFST,GADHS2000407005,2000,DHS,811,1273,,,1
