ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GAB,"Libreville,Port-Gentil",5511222,Women who have heard of HIV or AIDS,98.9,1,GA,Gabon,2000,GA2000DHS,HA_KAID_W_HRD,135163010,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,HAKAIDWHRD,GADHS2000407001,2000,DHS,3525,1957,,,1
GAB,North,6484155,Women who have heard of HIV or AIDS,97.6,1,GA,Gabon,2000,GA2000DHS,HA_KAID_W_HRD,135163010,I,407002,1407020,Region,North,0,,0,1,HAKAIDWHRD,GADHS2000407002,2000,DHS,699,1002,,,1
GAB,East,614475,Women who have heard of HIV or AIDS,92.7,1,GA,Gabon,2000,GA2000DHS,HA_KAID_W_HRD,135163010,I,407005,1407050,Region,East,0,,0,1,HAKAIDWHRD,GADHS2000407005,2000,DHS,811,1273,,,1
GAB,West,3327433,Women who have heard of HIV or AIDS,99.3,1,GA,Gabon,2000,GA2000DHS,HA_KAID_W_HRD,135163010,I,407008,1407080,Region,West,0,,0,1,HAKAIDWHRD,GADHS2000407008,2000,DHS,592,868,,,1
GAB,South,2684840,Women who have heard of HIV or AIDS,95.6,1,GA,Gabon,2000,GA2000DHS,HA_KAID_W_HRD,135163010,I,407012,1407120,Region,South,0,,0,1,HAKAIDWHRD,GADHS2000407012,2000,DHS,556,1083,,,1
GAB,"Libreville,Port-Gentil",5592584,Number of women,3525,0,GA,Gabon,2000,GA2000DHS,HA_KAID_W_NUM,135163020,D,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,HAKAIDWNUM,GADHS2000407001,2000,DHS,,1957,,,1
GAB,North,6509919,Number of women,699,0,GA,Gabon,2000,GA2000DHS,HA_KAID_W_NUM,135163020,D,407002,1407020,Region,North,0,,0,1,HAKAIDWNUM,GADHS2000407002,2000,DHS,,1002,,,1
GAB,East,614476,Number of women,811,0,GA,Gabon,2000,GA2000DHS,HA_KAID_W_NUM,135163020,D,407005,1407050,Region,East,0,,0,1,HAKAIDWNUM,GADHS2000407005,2000,DHS,,1273,,,1
GAB,West,614474,Number of women,592,0,GA,Gabon,2000,GA2000DHS,HA_KAID_W_NUM,135163020,D,407008,1407080,Region,West,0,,0,1,HAKAIDWNUM,GADHS2000407008,2000,DHS,,868,,,1
