ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GAB,"Libreville,Port-Gentil",6578805,HIV prevalence among women,5.6,1,GA,Gabon,2012,GA2012DHS,HA_HIVP_W_HIV,135963160,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,HAHIVPWHIV,GADHS2012407001,2012,DHS,3174,941,3.6,7.6,1
GAB,North,4087525,HIV prevalence among women,7.2,1,GA,Gabon,2012,GA2012DHS,HA_HIVP_W_HIV,135963160,I,407002,1407020,Region,North,0,,0,1,HAHIVPWHIV,GADHS2012407002,2012,DHS,424,1091,4.8,9.6,
GAB,Ogooué Ivindo,2343138,HIV prevalence among women,3.3,1,GA,Gabon,2012,GA2012DHS,HA_HIVP_W_HIV,135963160,I,407003,1407030,Region,..Ogooué Ivindo,0,,0,1,HAHIVPWHIV,GADHS2012407003,2012,DHS,166,661,1.8,4.8,1
GAB,Woleu Ntem,6666902,HIV prevalence among women,9.7,1,GA,Gabon,2012,GA2012DHS,HA_HIVP_W_HIV,135963160,I,407004,1407040,Region,..Woleu Ntem,0,,0,1,HAHIVPWHIV,GADHS2012407004,2012,DHS,259,430,6.1,13.3,1
GAB,East,6882825,HIV prevalence among women,5.4,1,GA,Gabon,2012,GA2012DHS,HA_HIVP_W_HIV,135963160,I,407005,1407050,Region,East,0,,0,1,HAHIVPWHIV,GADHS2012407005,2012,DHS,651,1070,3.6,7.2,
GAB,Ogooué-Lolo,4018104,HIV prevalence among women,3.6,1,GA,Gabon,2012,GA2012DHS,HA_HIVP_W_HIV,135963160,I,407006,1407060,Region,..Ogooué-Lolo,0,,0,1,HAHIVPWHIV,GADHS2012407006,2012,DHS,166,481,1.8,5.4,1
GAB,Haut-Ogooué,706276,HIV prevalence among women,6.1,1,GA,Gabon,2012,GA2012DHS,HA_HIVP_W_HIV,135963160,I,407007,1407070,Region,..Haut-Ogooué,0,,0,1,HAHIVPWHIV,GADHS2012407007,2012,DHS,486,589,3.7,8.4,1
GAB,West,6136968,HIV prevalence among women,6.1,1,GA,Gabon,2012,GA2012DHS,HA_HIVP_W_HIV,135963160,I,407008,1407080,Region,West,0,,0,1,HAHIVPWHIV,GADHS2012407008,2012,DHS,776,1337,4.1,8.1,
GAB,Estuaire (excluding Libreville),6868367,HIV prevalence among women,6,1,GA,Gabon,2012,GA2012DHS,HA_HIVP_W_HIV,135963160,I,407009,1407090,Region,..Estuaire (excluding Libreville),0,,0,1,HAHIVPWHIV,GADHS2012407009,2012,DHS,569,516,3.3,8.6,1
GAB,Moyen-Ogooué,3176421,HIV prevalence among women,7.1,1,GA,Gabon,2012,GA2012DHS,HA_HIVP_W_HIV,135963160,I,407010,1407100,Region,..Moyen-Ogooué,0,,0,1,HAHIVPWHIV,GADHS2012407010,2012,DHS,152,448,5,9.2,1
GAB,Ogooué-Maritime (excluding Port-Gentil),6839274,HIV prevalence among women,4.9,1,GA,Gabon,2012,GA2012DHS,HA_HIVP_W_HIV,135963160,I,407011,1407110,Region,..Ogooué-Maritime (excluding Port-Gentil),0,,0,1,HAHIVPWHIV,GADHS2012407011,2012,DHS,55,373,2.6,7.2,1
GAB,South,6882826,HIV prevalence among women,5.8,1,GA,Gabon,2012,GA2012DHS,HA_HIVP_W_HIV,135963160,I,407012,1407120,Region,South,0,,0,1,HAHIVPWHIV,GADHS2012407012,2012,DHS,434,1051,4.3,7.3,
GAB,Ngounié,3939475,HIV prevalence among women,6,1,GA,Gabon,2012,GA2012DHS,HA_HIVP_W_HIV,135963160,I,407013,1407130,Region,..Ngounié,0,,0,1,HAHIVPWHIV,GADHS2012407013,2012,DHS,312,595,4.1,7.8,1
GAB,Nyanga,6815050,HIV prevalence among women,5.5,1,GA,Gabon,2012,GA2012DHS,HA_HIVP_W_HIV,135963160,I,407014,1407140,Region,..Nyanga,0,,0,1,HAHIVPWHIV,GADHS2012407014,2012,DHS,123,456,3.2,7.9,1
GAB,"Libreville,Port-Gentil",6580907,Number of women interviewed and tested,3174,0,GA,Gabon,2012,GA2012DHS,HA_HIVP_W_NUM,135963170,D,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,HAHIVPWNUM,GADHS2012407001,2012,DHS,,941,,,1
