ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GAB,"Libreville,Port-Gentil",4793035,BCG vaccination received,93.4,1,GA,Gabon,2000,GA2000DHS,CH_VACC_C_BCG,93906010,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,CHVACCCBCG,GADHS2000407001,2000,DHS,380,211,,,1
GAB,North,5723102,BCG vaccination received,80,1,GA,Gabon,2000,GA2000DHS,CH_VACC_C_BCG,93906010,I,407002,1407020,Region,North,0,,0,1,CHVACCCBCG,GADHS2000407002,2000,DHS,114,163,,,1
GAB,East,2831891,BCG vaccination received,93,1,GA,Gabon,2000,GA2000DHS,CH_VACC_C_BCG,93906010,I,407005,1407050,Region,East,0,,0,1,CHVACCCBCG,GADHS2000407005,2000,DHS,115,183,,,1
GAB,West,1868347,BCG vaccination received,87.2,1,GA,Gabon,2000,GA2000DHS,CH_VACC_C_BCG,93906010,I,407008,1407080,Region,West,0,,0,1,CHVACCCBCG,GADHS2000407008,2000,DHS,100,146,,,1
GAB,South,5263021,BCG vaccination received,80.6,1,GA,Gabon,2000,GA2000DHS,CH_VACC_C_BCG,93906010,I,407012,1407120,Region,South,0,,0,1,CHVACCCBCG,GADHS2000407012,2000,DHS,94,186,,,1
GAB,"Libreville,Port-Gentil",4793030,DPT 1 vaccination received,75.4,1,GA,Gabon,2000,GA2000DHS,CH_VACC_C_DP1,93906020,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,CHVACCCDP1,GADHS2000407001,2000,DHS,380,211,,,1
GAB,North,5723101,DPT 1 vaccination received,56,1,GA,Gabon,2000,GA2000DHS,CH_VACC_C_DP1,93906020,I,407002,1407020,Region,North,0,,0,1,CHVACCCDP1,GADHS2000407002,2000,DHS,114,163,,,1
GAB,East,2831894,DPT 1 vaccination received,52.8,1,GA,Gabon,2000,GA2000DHS,CH_VACC_C_DP1,93906020,I,407005,1407050,Region,East,0,,0,1,CHVACCCDP1,GADHS2000407005,2000,DHS,115,183,,,1
GAB,West,1868343,DPT 1 vaccination received,67,1,GA,Gabon,2000,GA2000DHS,CH_VACC_C_DP1,93906020,I,407008,1407080,Region,West,0,,0,1,CHVACCCDP1,GADHS2000407008,2000,DHS,100,146,,,1
GAB,South,5263017,DPT 1 vaccination received,63.6,1,GA,Gabon,2000,GA2000DHS,CH_VACC_C_DP1,93906020,I,407012,1407120,Region,South,0,,0,1,CHVACCCDP1,GADHS2000407012,2000,DHS,94,186,,,1
GAB,"Libreville,Port-Gentil",4793036,DPT 2 vaccination received,60.7,1,GA,Gabon,2000,GA2000DHS,CH_VACC_C_DP2,93906030,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,CHVACCCDP2,GADHS2000407001,2000,DHS,380,211,,,1
GAB,North,5723103,DPT 2 vaccination received,35.7,1,GA,Gabon,2000,GA2000DHS,CH_VACC_C_DP2,93906030,I,407002,1407020,Region,North,0,,0,1,CHVACCCDP2,GADHS2000407002,2000,DHS,114,163,,,1
GAB,East,2831892,DPT 2 vaccination received,33.5,1,GA,Gabon,2000,GA2000DHS,CH_VACC_C_DP2,93906030,I,407005,1407050,Region,East,0,,0,1,CHVACCCDP2,GADHS2000407005,2000,DHS,115,183,,,1
GAB,West,1868348,DPT 2 vaccination received,50.2,1,GA,Gabon,2000,GA2000DHS,CH_VACC_C_DP2,93906030,I,407008,1407080,Region,West,0,,0,1,CHVACCCDP2,GADHS2000407008,2000,DHS,100,146,,,1
GAB,South,5263022,DPT 2 vaccination received,45.3,1,GA,Gabon,2000,GA2000DHS,CH_VACC_C_DP2,93906030,I,407012,1407120,Region,South,0,,0,1,CHVACCCDP2,GADHS2000407012,2000,DHS,94,186,,,1
GAB,"Libreville,Port-Gentil",4793031,DPT 3 vaccination received,46.4,1,GA,Gabon,2000,GA2000DHS,CH_VACC_C_DP3,93906040,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,CHVACCCDP3,GADHS2000407001,2000,DHS,380,211,,,1
GAB,North,5723105,DPT 3 vaccination received,21.5,1,GA,Gabon,2000,GA2000DHS,CH_VACC_C_DP3,93906040,I,407002,1407020,Region,North,0,,0,1,CHVACCCDP3,GADHS2000407002,2000,DHS,114,163,,,1
GAB,East,2831895,DPT 3 vaccination received,24.4,1,GA,Gabon,2000,GA2000DHS,CH_VACC_C_DP3,93906040,I,407005,1407050,Region,East,0,,0,1,CHVACCCDP3,GADHS2000407005,2000,DHS,115,183,,,1
GAB,West,1868344,DPT 3 vaccination received,30.7,1,GA,Gabon,2000,GA2000DHS,CH_VACC_C_DP3,93906040,I,407008,1407080,Region,West,0,,0,1,CHVACCCDP3,GADHS2000407008,2000,DHS,100,146,,,1
