ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GAB,"Libreville,Port-Gentil",229486,Women with secondary or higher education,81,1,GA,Gabon,2012,GA2012DHS,ED_LITR_W_SCH,231233010,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,EDLITRWSCH,GADHS2012407001,2012,DHS,4974,1557,,,1
GAB,North,5979445,Women with secondary or higher education,61.5,1,GA,Gabon,2012,GA2012DHS,ED_LITR_W_SCH,231233010,I,407002,1407020,Region,North,0,,0,1,EDLITRWSCH,GADHS2012407002,2012,DHS,635,1621,,,
GAB,Ogooué Ivindo,3122865,Women with secondary or higher education,46,1,GA,Gabon,2012,GA2012DHS,ED_LITR_W_SCH,231233010,I,407003,1407030,Region,..Ogooué Ivindo,0,,0,1,EDLITRWSCH,GADHS2012407003,2012,DHS,249,984,,,1
GAB,Woleu Ntem,229496,Women with secondary or higher education,71.6,1,GA,Gabon,2012,GA2012DHS,ED_LITR_W_SCH,231233010,I,407004,1407040,Region,..Woleu Ntem,0,,0,1,EDLITRWSCH,GADHS2012407004,2012,DHS,386,637,,,1
GAB,East,4442142,Women with secondary or higher education,64,1,GA,Gabon,2012,GA2012DHS,ED_LITR_W_SCH,231233010,I,407005,1407050,Region,East,0,,0,1,EDLITRWSCH,GADHS2012407005,2012,DHS,977,1616,,,
GAB,Ogooué-Lolo,237719,Women with secondary or higher education,55.4,1,GA,Gabon,2012,GA2012DHS,ED_LITR_W_SCH,231233010,I,407006,1407060,Region,..Ogooué-Lolo,0,,0,1,EDLITRWSCH,GADHS2012407006,2012,DHS,248,741,,,1
GAB,Haut-Ogooué,5496328,Women with secondary or higher education,67,1,GA,Gabon,2012,GA2012DHS,ED_LITR_W_SCH,231233010,I,407007,1407070,Region,..Haut-Ogooué,0,,0,1,EDLITRWSCH,GADHS2012407007,2012,DHS,729,875,,,1
GAB,West,2732017,Women with secondary or higher education,73.4,1,GA,Gabon,2012,GA2012DHS,ED_LITR_W_SCH,231233010,I,407008,1407080,Region,West,0,,0,1,EDLITRWSCH,GADHS2012407008,2012,DHS,1187,2085,,,
GAB,Estuaire (excluding Libreville),5126876,Women with secondary or higher education,77.3,1,GA,Gabon,2012,GA2012DHS,ED_LITR_W_SCH,231233010,I,407009,1407090,Region,..Estuaire (excluding Libreville),0,,0,1,EDLITRWSCH,GADHS2012407009,2012,DHS,876,844,,,1
