ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GAB,"Libreville,Port-Gentil",3715554,Men who want no more children,25.3,1,GA,Gabon,2000,GA2000DHS,PR_DESL_M_WNM,22204040,I,407001,1407010,Region,"Libreville,Port-Gentil",1000,Total,0,1,PRDESLMWNM,GADHS2000407001,2000,DHS,,241,,,1
GAB,"Libreville,Port-Gentil",6216298,Men who want no more children,17.9,1,GA,Gabon,2000,GA2000DHS,PR_DESL_M_WNM,22204040,I,407001,1407010,Region,"Libreville,Port-Gentil",189001,Living children: 1,0,0,PRDESLMWNM,GADHS2000407001,2000,DHS,,28,,,1
GAB,"Libreville,Port-Gentil",3980020,Men who want no more children,17.9,1,GA,Gabon,2000,GA2000DHS,PR_DESL_M_WNM,22204040,I,407001,1407010,Region,"Libreville,Port-Gentil",189002,Living children: 2,0,0,PRDESLMWNM,GADHS2000407001,2000,DHS,,39,,,1
GAB,"Libreville,Port-Gentil",6333533,Men who want no more children,36.4,1,GA,Gabon,2000,GA2000DHS,PR_DESL_M_WNM,22204040,I,407001,1407010,Region,"Libreville,Port-Gentil",189004,Living children: 4,0,0,PRDESLMWNM,GADHS2000407001,2000,DHS,,33,,,1
GAB,"Libreville,Port-Gentil",5541147,Men who want no more children,34.5,1,GA,Gabon,2000,GA2000DHS,PR_DESL_M_WNM,22204040,I,407001,1407010,Region,"Libreville,Port-Gentil",189005,Living children: 5,0,0,PRDESLMWNM,GADHS2000407001,2000,DHS,,29,,,1
GAB,"Libreville,Port-Gentil",3982461,Men who want no more children,30.4,1,GA,Gabon,2000,GA2000DHS,PR_DESL_M_WNM,22204040,I,407001,1407010,Region,"Libreville,Port-Gentil",189006,Living children: 6+,0,0,PRDESLMWNM,GADHS2000407001,2000,DHS,,69,,,1
GAB,North,1352982,Men who want no more children,10.7,1,GA,Gabon,2000,GA2000DHS,PR_DESL_M_WNM,22204040,I,407002,1407020,Region,North,1000,Total,0,1,PRDESLMWNM,GADHS2000407002,2000,DHS,,124,,,1
GAB,North,4858457,Men who want no more children,23.6,1,GA,Gabon,2000,GA2000DHS,PR_DESL_M_WNM,22204040,I,407002,1407020,Region,North,189006,Living children: 6+,0,0,PRDESLMWNM,GADHS2000407002,2000,DHS,,39,,,1
GAB,East,4262997,Men who want no more children,13.9,1,GA,Gabon,2000,GA2000DHS,PR_DESL_M_WNM,22204040,I,407005,1407050,Region,East,1000,Total,0,1,PRDESLMWNM,GADHS2000407005,2000,DHS,,166,,,1
GAB,East,5853608,Men who want no more children,0,1,GA,Gabon,2000,GA2000DHS,PR_DESL_M_WNM,22204040,I,407005,1407050,Region,East,189002,Living children: 2,0,0,PRDESLMWNM,GADHS2000407005,2000,DHS,,36,,,1
GAB,East,1345947,Men who want no more children,33.3,1,GA,Gabon,2000,GA2000DHS,PR_DESL_M_WNM,22204040,I,407005,1407050,Region,East,189006,Living children: 6+,0,0,PRDESLMWNM,GADHS2000407005,2000,DHS,,42,,,1
GAB,West,5277897,Men who want no more children,23.8,1,GA,Gabon,2000,GA2000DHS,PR_DESL_M_WNM,22204040,I,407008,1407080,Region,West,1000,Total,0,1,PRDESLMWNM,GADHS2000407008,2000,DHS,,152,,,1
GAB,West,5187787,Men who want no more children,30,1,GA,Gabon,2000,GA2000DHS,PR_DESL_M_WNM,22204040,I,407008,1407080,Region,West,189002,Living children: 2,0,0,PRDESLMWNM,GADHS2000407008,2000,DHS,,30,,,1
GAB,West,5065546,Men who want no more children,42.8,1,GA,Gabon,2000,GA2000DHS,PR_DESL_M_WNM,22204040,I,407008,1407080,Region,West,189006,Living children: 6+,0,0,PRDESLMWNM,GADHS2000407008,2000,DHS,,40,,,1
GAB,South,6001279,Men who want no more children,18.3,1,GA,Gabon,2000,GA2000DHS,PR_DESL_M_WNM,22204040,I,407012,1407120,Region,South,1000,Total,0,1,PRDESLMWNM,GADHS2000407012,2000,DHS,,118,,,1
GAB,South,6309983,Men who want no more children,40.2,1,GA,Gabon,2000,GA2000DHS,PR_DESL_M_WNM,22204040,I,407012,1407120,Region,South,189006,Living children: 6+,0,0,PRDESLMWNM,GADHS2000407012,2000,DHS,,34,,,1
GAB,"Libreville,Port-Gentil",4817363,Knowledge of any method of contraception among married men,99.2,1,GA,Gabon,2000,GA2000DHS,FP_KMET_M_ANY,32464050,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,FPKMETMANY,GADHS2000407001,2000,DHS,459,241,,,1
GAB,North,5725062,Knowledge of any method of contraception among married men,100,1,GA,Gabon,2000,GA2000DHS,FP_KMET_M_ANY,32464050,I,407002,1407020,Region,North,0,,0,1,FPKMETMANY,GADHS2000407002,2000,DHS,84,124,,,1
GAB,East,2198692,Knowledge of any method of contraception among married men,100,1,GA,Gabon,2000,GA2000DHS,FP_KMET_M_ANY,32464050,I,407005,1407050,Region,East,0,,0,1,FPKMETMANY,GADHS2000407005,2000,DHS,101,166,,,1
GAB,West,473970,Knowledge of any method of contraception among married men,100,1,GA,Gabon,2000,GA2000DHS,FP_KMET_M_ANY,32464050,I,407008,1407080,Region,West,0,,0,1,FPKMETMANY,GADHS2000407008,2000,DHS,105,152,,,1
GAB,South,3872143,Knowledge of any method of contraception among married men,97.1,1,GA,Gabon,2000,GA2000DHS,FP_KMET_M_ANY,32464050,I,407012,1407120,Region,South,0,,0,1,FPKMETMANY,GADHS2000407012,2000,DHS,58,118,,,1
GAB,"Libreville,Port-Gentil",4817364,Knowledge of any modern method of contraception amonth married men,99.2,1,GA,Gabon,2000,GA2000DHS,FP_KMET_M_MOD,32464060,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,FPKMETMMOD,GADHS2000407001,2000,DHS,459,241,,,1
GAB,North,5725080,Knowledge of any modern method of contraception amonth married men,99.2,1,GA,Gabon,2000,GA2000DHS,FP_KMET_M_MOD,32464060,I,407002,1407020,Region,North,0,,0,1,FPKMETMMOD,GADHS2000407002,2000,DHS,84,124,,,1
GAB,East,2198693,Knowledge of any modern method of contraception amonth married men,99.3,1,GA,Gabon,2000,GA2000DHS,FP_KMET_M_MOD,32464060,I,407005,1407050,Region,East,0,,0,1,FPKMETMMOD,GADHS2000407005,2000,DHS,101,166,,,1
GAB,West,473994,Knowledge of any modern method of contraception amonth married men,98.1,1,GA,Gabon,2000,GA2000DHS,FP_KMET_M_MOD,32464060,I,407008,1407080,Region,West,0,,0,1,FPKMETMMOD,GADHS2000407008,2000,DHS,105,152,,,1
GAB,South,3872144,Knowledge of any modern method of contraception amonth married men,93.1,1,GA,Gabon,2000,GA2000DHS,FP_KMET_M_MOD,32464060,I,407012,1407120,Region,South,0,,0,1,FPKMETMMOD,GADHS2000407012,2000,DHS,58,118,,,1
