ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GAB,"Libreville,Port-Gentil",1067137,Children 6-23 months that consumed foods rich in vitamin A in the last 24 hours,66.5,1,GA,Gabon,2012,GA2012DHS,CN_MIAC_C_VAF,104506010,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,CNMIACCVAF,GADHS2012407001,2012,DHS,740,243,,,1
GAB,North,4210089,Children 6-23 months that consumed foods rich in vitamin A in the last 24 hours,67.1,1,GA,Gabon,2012,GA2012DHS,CN_MIAC_C_VAF,104506010,I,407002,1407020,Region,North,0,,0,1,CNMIACCVAF,GADHS2012407002,2012,DHS,130,363,,,
GAB,Ogooué Ivindo,3525208,Children 6-23 months that consumed foods rich in vitamin A in the last 24 hours,66.5,1,GA,Gabon,2012,GA2012DHS,CN_MIAC_C_VAF,104506010,I,407003,1407030,Region,..Ogooué Ivindo,0,,0,1,CNMIACCVAF,GADHS2012407003,2012,DHS,61,254,,,1
GAB,Woleu Ntem,1723220,Children 6-23 months that consumed foods rich in vitamin A in the last 24 hours,67.6,1,GA,Gabon,2012,GA2012DHS,CN_MIAC_C_VAF,104506010,I,407004,1407040,Region,..Woleu Ntem,0,,0,1,CNMIACCVAF,GADHS2012407004,2012,DHS,69,109,,,1
GAB,East,6103671,Children 6-23 months that consumed foods rich in vitamin A in the last 24 hours,73.3,1,GA,Gabon,2012,GA2012DHS,CN_MIAC_C_VAF,104506010,I,407005,1407050,Region,East,0,,0,1,CNMIACCVAF,GADHS2012407005,2012,DHS,195,335,,,
GAB,Ogooué-Lolo,3282435,Children 6-23 months that consumed foods rich in vitamin A in the last 24 hours,74.4,1,GA,Gabon,2012,GA2012DHS,CN_MIAC_C_VAF,104506010,I,407006,1407060,Region,..Ogooué-Lolo,0,,0,1,CNMIACCVAF,GADHS2012407006,2012,DHS,49,156,,,1
GAB,Haut-Ogooué,4768650,Children 6-23 months that consumed foods rich in vitamin A in the last 24 hours,73,1,GA,Gabon,2012,GA2012DHS,CN_MIAC_C_VAF,104506010,I,407007,1407070,Region,..Haut-Ogooué,0,,0,1,CNMIACCVAF,GADHS2012407007,2012,DHS,146,179,,,1
GAB,West,6429783,Children 6-23 months that consumed foods rich in vitamin A in the last 24 hours,71.7,1,GA,Gabon,2012,GA2012DHS,CN_MIAC_C_VAF,104506010,I,407008,1407080,Region,West,0,,0,1,CNMIACCVAF,GADHS2012407008,2012,DHS,198,408,,,
GAB,Estuaire (excluding Libreville),5523506,Children 6-23 months that consumed foods rich in vitamin A in the last 24 hours,74.3,1,GA,Gabon,2012,GA2012DHS,CN_MIAC_C_VAF,104506010,I,407009,1407090,Region,..Estuaire (excluding Libreville),0,,0,1,CNMIACCVAF,GADHS2012407009,2012,DHS,133,148,,,1
GAB,Moyen-Ogooué,4329934,Children 6-23 months that consumed foods rich in vitamin A in the last 24 hours,63.6,1,GA,Gabon,2012,GA2012DHS,CN_MIAC_C_VAF,104506010,I,407010,1407100,Region,..Moyen-Ogooué,0,,0,1,CNMIACCVAF,GADHS2012407010,2012,DHS,46,136,,,1
