Indicator,SurveyYear,CountryName,AGEGROUP (DISPLAY),SEX (DISPLAY),CHILDCAUSE (DISPLAY),Value
Distribution of causes of death among children aged < 5 years (%),2000,Gabon,1-59 months,,HIV/AIDS,0.10475
Distribution of causes of death among children aged < 5 years (%),2000,Gabon,0-4 years,,HIV/AIDS,0.0693
Distribution of causes of death among children aged < 5 years (%),2000,Gabon,1-59 months,,Tetanus,0.00078
Distribution of causes of death among children aged < 5 years (%),2000,Gabon,1-59 months,,Meningitis/encephalitis,0.01436
Distribution of causes of death among children aged < 5 years (%),2000,Gabon,0-27 days,,Acute lower respiratory infections,0.06472
Distribution of causes of death among children aged < 5 years (%),2000,Gabon,1-59 months,,Acute lower respiratory infections,0.15171
Distribution of causes of death among children aged < 5 years (%),2000,Gabon,0-27 days,,Birth asphyxia and birth trauma,0.25242
Distribution of causes of death among children aged < 5 years (%),2000,Gabon,0-4 years,,Sepsis and other infectious conditions of the newborn,0.0372
Distribution of causes of death among children aged < 5 years (%),2000,Gabon,0-27 days,,Other Group 1 (postneonatal only),0.037
Distribution of causes of death among children aged < 5 years (%),2000,Gabon,0-4 years,,Congenital anomalies,0.04823
Distribution of causes of death among children aged < 5 years (%),2000,Gabon,1-59 months,,Injuries,0.0432
Distribution of causes of death among children aged < 5 years (%),2000,Gabon,0-4 years,,Injuries,0.03045
Distribution of causes of death among children aged < 5 years (%),2001,Gabon,1-59 months,,Diarrhoeal diseases,0.07843
Distribution of causes of death among children aged < 5 years (%),2001,Gabon,1-59 months,,Measles,0.48055
Distribution of causes of death among children aged < 5 years (%),2001,Gabon,0-27 days,,Malaria,0
Distribution of causes of death among children aged < 5 years (%),2001,Gabon,1-59 months,,Malaria,0.0978
Distribution of causes of death among children aged < 5 years (%),2001,Gabon,0-27 days,,Prematurity,0.41816
Distribution of causes of death among children aged < 5 years (%),2001,Gabon,0-4 years,,Birth asphyxia and birth trauma,0.07267
Distribution of causes of death among children aged < 5 years (%),2001,Gabon,0-27 days,,Sepsis and other infectious conditions of the newborn,0.10941
Distribution of causes of death among children aged < 5 years (%),2001,Gabon,0-4 years,,Other Group 1 (postneonatal only),0.05305
Distribution of causes of death among children aged < 5 years (%),2001,Gabon,1-59 months,,Other noncommunicable diseases (postneonatal only),0.02146
Distribution of causes of death among children aged < 5 years (%),2001,Gabon,0-4 years,,Other noncommunicable diseases (postneonatal only),0.01592
Distribution of causes of death among children aged < 5 years (%),2002,Gabon,1-59 months,,HIV/AIDS,0.09032
Distribution of causes of death among children aged < 5 years (%),2002,Gabon,1-59 months,,Tetanus,0.00054
Distribution of causes of death among children aged < 5 years (%),2002,Gabon,0-27 days,,Meningitis/encephalitis,0.0097
Distribution of causes of death among children aged < 5 years (%),2002,Gabon,1-59 months,,Meningitis/encephalitis,0.01188
Distribution of causes of death among children aged < 5 years (%),2002,Gabon,0-27 days,,Acute lower respiratory infections,0.06543
Distribution of causes of death among children aged < 5 years (%),2002,Gabon,0-4 years,,Prematurity,0.12719
Distribution of causes of death among children aged < 5 years (%),2002,Gabon,0-27 days,,Birth asphyxia and birth trauma,0.25612
Distribution of causes of death among children aged < 5 years (%),2002,Gabon,0-4 years,,Sepsis and other infectious conditions of the newborn,0.03242
Distribution of causes of death among children aged < 5 years (%),2002,Gabon,1-59 months,,Congenital anomalies,0.02805
Distribution of causes of death among children aged < 5 years (%),2002,Gabon,0-4 years,,Congenital anomalies,0.04302
Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2012,Gabon,,Female,,273.826
Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2012,Gabon,,Male,,266.9853
Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2011,Gabon,,Both sexes,,281.7711
Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2011,Gabon,,Female,,289.7321
Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2006,Gabon,,Both sexes,,307.5847
Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2006,Gabon,,Female,,313.9518
Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2006,Gabon,,Male,,302.3959
Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2005,Gabon,,Both sexes,,326.2421
Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2001,Gabon,,Female,,319.2092
Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2001,Gabon,,Male,,332.0049
Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2000,Gabon,,Both sexes,,316.8579
Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2000,Gabon,,Female,,308.109
Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2000,Gabon,,Male,,326.7604
Distribution of causes of death among children aged < 5 years (%),2002,Gabon,1-59 months,,Injuries,0.0357
Distribution of causes of death among children aged < 5 years (%),2003,Gabon,1-59 months,,Diarrhoeal diseases,0.09562
Distribution of causes of death among children aged < 5 years (%),2003,Gabon,0-27 days,,Measles,0
Distribution of causes of death among children aged < 5 years (%),2003,Gabon,1-59 months,,Measles,0.36826
Distribution of causes of death among children aged < 5 years (%),2003,Gabon,0-27 days,,Malaria,0
Distribution of causes of death among children aged < 5 years (%),2003,Gabon,0-4 years,,Acute lower respiratory infections,0.1149
Distribution of causes of death among children aged < 5 years (%),2003,Gabon,0-27 days,,Prematurity,0.40644
Distribution of causes of death among children aged < 5 years (%),2003,Gabon,0-4 years,,Birth asphyxia and birth trauma,0.0849
Distribution of causes of death among children aged < 5 years (%),2003,Gabon,1-59 months,,Other Group 1 (postneonatal only),0.07662
Distribution of causes of death among children aged < 5 years (%),2003,Gabon,0-4 years,,Other Group 1 (postneonatal only),0.06488
Distribution of causes of death among children aged < 5 years (%),2003,Gabon,1-59 months,,Other noncommunicable diseases (postneonatal only),0.02823
