ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GAB,"Libreville,Port-Gentil",3979322,Number of households,3132,0,GA,Gabon,2000,GA2000DHS,HC_ORPH_H_NUM,260861050,D,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,HCORPHHNUM,GADHS2000407001,2000,DHS,,1717,,,1
GAB,North,5969216,Number of households,797,0,GA,Gabon,2000,GA2000DHS,HC_ORPH_H_NUM,260861050,D,407002,1407020,Region,North,0,,0,1,HCORPHHNUM,GADHS2000407002,2000,DHS,,1025,,,1
GAB,East,1465269,Number of households,945,0,GA,Gabon,2000,GA2000DHS,HC_ORPH_H_NUM,260861050,D,407005,1407050,Region,East,0,,0,1,HCORPHHNUM,GADHS2000407005,2000,DHS,,1345,,,1
GAB,West,4113986,Number of households,677,0,GA,Gabon,2000,GA2000DHS,HC_ORPH_H_NUM,260861050,D,407008,1407080,Region,West,0,,0,1,HCORPHHNUM,GADHS2000407008,2000,DHS,,935,,,1
GAB,South,1449705,Number of households,652,0,GA,Gabon,2000,GA2000DHS,HC_ORPH_H_NUM,260861050,D,407012,1407120,Region,South,0,,0,1,HCORPHHNUM,GADHS2000407012,2000,DHS,,1181,,,1
GAB,"Libreville,Port-Gentil",1456357,Number of households (unweighted),1717,0,GA,Gabon,2000,GA2000DHS,HC_ORPH_H_UNW,260861060,U,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,HCORPHHUNW,GADHS2000407001,2000,DHS,3132,,,,1
GAB,North,2133380,Number of households (unweighted),1025,0,GA,Gabon,2000,GA2000DHS,HC_ORPH_H_UNW,260861060,U,407002,1407020,Region,North,0,,0,1,HCORPHHUNW,GADHS2000407002,2000,DHS,797,,,,1
GAB,East,1465267,Number of households (unweighted),1345,0,GA,Gabon,2000,GA2000DHS,HC_ORPH_H_UNW,260861060,U,407005,1407050,Region,East,0,,0,1,HCORPHHUNW,GADHS2000407005,2000,DHS,945,,,,1
GAB,West,1465266,Number of households (unweighted),935,0,GA,Gabon,2000,GA2000DHS,HC_ORPH_H_UNW,260861060,U,407008,1407080,Region,West,0,,0,1,HCORPHHUNW,GADHS2000407008,2000,DHS,677,,,,1
GAB,South,1187797,Number of households (unweighted),1181,0,GA,Gabon,2000,GA2000DHS,HC_ORPH_H_UNW,260861060,U,407012,1407120,Region,South,0,,0,1,HCORPHHUNW,GADHS2000407012,2000,DHS,652,,,,1
GAB,"Libreville,Port-Gentil",5456062,Children living with both parents,43.9,1,GA,Gabon,2000,GA2000DHS,HC_LVAR_C_BTH,260936010,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,HCLVARCBTH,GADHS2000407001,2000,DHS,5983,3280,,,1
GAB,North,5071999,Children living with both parents,36.6,1,GA,Gabon,2000,GA2000DHS,HC_LVAR_C_BTH,260936010,I,407002,1407020,Region,North,0,,0,1,HCLVARCBTH,GADHS2000407002,2000,DHS,1725,2211,,,1
GAB,East,1465272,Children living with both parents,40.1,1,GA,Gabon,2000,GA2000DHS,HC_LVAR_C_BTH,260936010,I,407005,1407050,Region,East,0,,0,1,HCLVARCBTH,GADHS2000407005,2000,DHS,1982,2795,,,1
GAB,West,6381427,Children living with both parents,39.2,1,GA,Gabon,2000,GA2000DHS,HC_LVAR_C_BTH,260936010,I,407008,1407080,Region,West,0,,0,1,HCLVARCBTH,GADHS2000407008,2000,DHS,1379,1935,,,1
