ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GAB,"Libreville,Port-Gentil",701847,Under-five mortality rate,95,0,GA,Gabon,2000,GA2000DHS,CM_ECMR_C_U5M,63206050,I,407001,1407010,Region,"Libreville,Port-Gentil",14003,Ten years preceding the survey,0,1,CMECMRCU5M,GADHS2000407001,2000,DHS,,,80,109,1
GAB,North,2039147,Under-five mortality rate,122,0,GA,Gabon,2000,GA2000DHS,CM_ECMR_C_U5M,63206050,I,407002,1407020,Region,North,14003,Ten years preceding the survey,0,1,CMECMRCU5M,GADHS2000407002,2000,DHS,,,99,146,1
GAB,East,6638009,Under-five mortality rate,52,0,GA,Gabon,2000,GA2000DHS,CM_ECMR_C_U5M,63206050,I,407005,1407050,Region,East,14003,Ten years preceding the survey,0,1,CMECMRCU5M,GADHS2000407005,2000,DHS,,,38,66,1
GAB,West,740956,Under-five mortality rate,94,0,GA,Gabon,2000,GA2000DHS,CM_ECMR_C_U5M,63206050,I,407008,1407080,Region,West,14003,Ten years preceding the survey,0,1,CMECMRCU5M,GADHS2000407008,2000,DHS,,,75,112,1
GAB,South,2039349,Under-five mortality rate,88,0,GA,Gabon,2000,GA2000DHS,CM_ECMR_C_U5M,63206050,I,407012,1407120,Region,South,14003,Ten years preceding the survey,0,1,CMECMRCU5M,GADHS2000407012,2000,DHS,,,70,105,1
GAB,"Libreville,Port-Gentil",6840830,Under-five mortality rate,56,0,GA,Gabon,2012,GA2012DHS,CM_ECMR_C_U5M,63206050,I,407001,1407010,Region,"Libreville,Port-Gentil",14003,Ten years preceding the survey,0,1,CMECMRCU5M,GADHS2012407001,2012,DHS,,,44,69,1
GAB,North,6666631,Under-five mortality rate,88,0,GA,Gabon,2012,GA2012DHS,CM_ECMR_C_U5M,63206050,I,407002,1407020,Region,North,14003,Ten years preceding the survey,0,1,CMECMRCU5M,GADHS2012407002,2012,DHS,,,75,102,
GAB,Ogooué Ivindo,6819277,Under-five mortality rate,107,0,GA,Gabon,2012,GA2012DHS,CM_ECMR_C_U5M,63206050,I,407003,1407030,Region,..Ogooué Ivindo,14003,Ten years preceding the survey,0,1,CMECMRCU5M,GADHS2012407003,2012,DHS,,,91,123,1
GAB,Woleu Ntem,6878569,Under-five mortality rate,74,0,GA,Gabon,2012,GA2012DHS,CM_ECMR_C_U5M,63206050,I,407004,1407040,Region,..Woleu Ntem,14003,Ten years preceding the survey,0,1,CMECMRCU5M,GADHS2012407004,2012,DHS,,,57,91,1
GAB,East,6745045,Under-five mortality rate,60,0,GA,Gabon,2012,GA2012DHS,CM_ECMR_C_U5M,63206050,I,407005,1407050,Region,East,14003,Ten years preceding the survey,0,1,CMECMRCU5M,GADHS2012407005,2012,DHS,,,44,77,
GAB,Ogooué-Lolo,706973,Under-five mortality rate,55,0,GA,Gabon,2012,GA2012DHS,CM_ECMR_C_U5M,63206050,I,407006,1407060,Region,..Ogooué-Lolo,14003,Ten years preceding the survey,0,1,CMECMRCU5M,GADHS2012407006,2012,DHS,,,41,70,1
GAB,Haut-Ogooué,2039369,Under-five mortality rate,62,0,GA,Gabon,2012,GA2012DHS,CM_ECMR_C_U5M,63206050,I,407007,1407070,Region,..Haut-Ogooué,14003,Ten years preceding the survey,0,1,CMECMRCU5M,GADHS2012407007,2012,DHS,,,40,85,1
GAB,West,725433,Under-five mortality rate,68,0,GA,Gabon,2012,GA2012DHS,CM_ECMR_C_U5M,63206050,I,407008,1407080,Region,West,14003,Ten years preceding the survey,0,1,CMECMRCU5M,GADHS2012407008,2012,DHS,,,51,85,
GAB,Estuaire (excluding Libreville),2039350,Under-five mortality rate,77,0,GA,Gabon,2012,GA2012DHS,CM_ECMR_C_U5M,63206050,I,407009,1407090,Region,..Estuaire (excluding Libreville),14003,Ten years preceding the survey,0,1,CMECMRCU5M,GADHS2012407009,2012,DHS,,,56,99,1
GAB,Moyen-Ogooué,681065,Under-five mortality rate,37,0,GA,Gabon,2012,GA2012DHS,CM_ECMR_C_U5M,63206050,I,407010,1407100,Region,..Moyen-Ogooué,14003,Ten years preceding the survey,0,1,CMECMRCU5M,GADHS2012407010,2012,DHS,,,19,55,1
GAB,Ogooué-Maritime (excluding Port-Gentil),6866670,Under-five mortality rate,55,0,GA,Gabon,2012,GA2012DHS,CM_ECMR_C_U5M,63206050,I,407011,1407110,Region,..Ogooué-Maritime (excluding Port-Gentil),14003,Ten years preceding the survey,0,1,CMECMRCU5M,GADHS2012407011,2012,DHS,,,28,82,1
GAB,South,6750260,Under-five mortality rate,72,0,GA,Gabon,2012,GA2012DHS,CM_ECMR_C_U5M,63206050,I,407012,1407120,Region,South,14003,Ten years preceding the survey,0,1,CMECMRCU5M,GADHS2012407012,2012,DHS,,,60,84,
GAB,Ngounié,6856083,Under-five mortality rate,77,0,GA,Gabon,2012,GA2012DHS,CM_ECMR_C_U5M,63206050,I,407013,1407130,Region,..Ngounié,14003,Ten years preceding the survey,0,1,CMECMRCU5M,GADHS2012407013,2012,DHS,,,61,94,1
GAB,Nyanga,2055401,Under-five mortality rate,60,0,GA,Gabon,2012,GA2012DHS,CM_ECMR_C_U5M,63206050,I,407014,1407140,Region,..Nyanga,14003,Ten years preceding the survey,0,1,CMECMRCU5M,GADHS2012407014,2012,DHS,,,45,75,1
GAB,"Libreville,Port-Gentil",5447387,Households with at least one insecticide-treated mosquito net (ITN),30.8,1,GA,Gabon,2012,GA2012DHS,ML_NETP_H_ITN,124661020,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,MLNETPHITN,GADHS2012407001,2012,DHS,5579,1562,,,1
GAB,North,6349585,Households with at least one insecticide-treated mosquito net (ITN),44.2,1,GA,Gabon,2012,GA2012DHS,ML_NETP_H_ITN,124661020,I,407002,1407020,Region,North,0,,0,1,MLNETPHITN,GADHS2012407002,2012,DHS,852,1883,,,
GAB,Ogooué Ivindo,1782571,Households with at least one insecticide-treated mosquito net (ITN),60.1,1,GA,Gabon,2012,GA2012DHS,ML_NETP_H_ITN,124661020,I,407003,1407030,Region,..Ogooué Ivindo,0,,0,1,MLNETPHITN,GADHS2012407003,2012,DHS,248,934,,,1
GAB,Woleu Ntem,4381297,Households with at least one insecticide-treated mosquito net (ITN),37.7,1,GA,Gabon,2012,GA2012DHS,ML_NETP_H_ITN,124661020,I,407004,1407040,Region,..Woleu Ntem,0,,0,1,MLNETPHITN,GADHS2012407004,2012,DHS,604,949,,,1
GAB,East,6503062,Households with at least one insecticide-treated mosquito net (ITN),44,1,GA,Gabon,2012,GA2012DHS,ML_NETP_H_ITN,124661020,I,407005,1407050,Region,East,0,,0,1,MLNETPHITN,GADHS2012407005,2012,DHS,1104,1784,,,
GAB,Ogooué-Lolo,3901871,Households with at least one insecticide-treated mosquito net (ITN),41.1,1,GA,Gabon,2012,GA2012DHS,ML_NETP_H_ITN,124661020,I,407006,1407060,Region,..Ogooué-Lolo,0,,0,1,MLNETPHITN,GADHS2012407006,2012,DHS,317,915,,,1
GAB,Haut-Ogooué,3846297,Households with at least one insecticide-treated mosquito net (ITN),45.2,1,GA,Gabon,2012,GA2012DHS,ML_NETP_H_ITN,124661020,I,407007,1407070,Region,..Haut-Ogooué,0,,0,1,MLNETPHITN,GADHS2012407007,2012,DHS,787,869,,,1
GAB,West,3180323,Households with at least one insecticide-treated mosquito net (ITN),42.7,1,GA,Gabon,2012,GA2012DHS,ML_NETP_H_ITN,124661020,I,407008,1407080,Region,West,0,,0,1,MLNETPHITN,GADHS2012407008,2012,DHS,1442,2677,,,
GAB,Estuaire (excluding Libreville),4124277,Households with at least one insecticide-treated mosquito net (ITN),42.1,1,GA,Gabon,2012,GA2012DHS,ML_NETP_H_ITN,124661020,I,407009,1407090,Region,..Estuaire (excluding Libreville),0,,0,1,MLNETPHITN,GADHS2012407009,2012,DHS,971,868,,,1
GAB,Moyen-Ogooué,5931754,Households with at least one insecticide-treated mosquito net (ITN),40.1,1,GA,Gabon,2012,GA2012DHS,ML_NETP_H_ITN,124661020,I,407010,1407100,Region,..Moyen-Ogooué,0,,0,1,MLNETPHITN,GADHS2012407010,2012,DHS,340,920,,,1
GAB,Ogooué-Maritime (excluding Port-Gentil),4042273,Households with at least one insecticide-treated mosquito net (ITN),53.9,1,GA,Gabon,2012,GA2012DHS,ML_NETP_H_ITN,124661020,I,407011,1407110,Region,..Ogooué-Maritime (excluding Port-Gentil),0,,0,1,MLNETPHITN,GADHS2012407011,2012,DHS,131,889,,,1
GAB,South,5286508,Households with at least one insecticide-treated mosquito net (ITN),42.2,1,GA,Gabon,2012,GA2012DHS,ML_NETP_H_ITN,124661020,I,407012,1407120,Region,South,0,,0,1,MLNETPHITN,GADHS2012407012,2012,DHS,778,1849,,,
GAB,Ngounié,4842306,Households with at least one insecticide-treated mosquito net (ITN),39.8,1,GA,Gabon,2012,GA2012DHS,ML_NETP_H_ITN,124661020,I,407013,1407130,Region,..Ngounié,0,,0,1,MLNETPHITN,GADHS2012407013,2012,DHS,532,937,,,1
GAB,Nyanga,1797266,Households with at least one insecticide-treated mosquito net (ITN),47.2,1,GA,Gabon,2012,GA2012DHS,ML_NETP_H_ITN,124661020,I,407014,1407140,Region,..Nyanga,0,,0,1,MLNETPHITN,GADHS2012407014,2012,DHS,246,912,,,1
