ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GAB,"Libreville,Port-Gentil",819903,Age specific fertility rate: 10-14,3,0,GA,Gabon,2000,GA2000DHS,FE_FRTR_W_A10,11763005,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,FEFRTRWA10,GADHS2000407001,2000,DHS,,,,,1
GAB,North,835262,Age specific fertility rate: 10-14,6,0,GA,Gabon,2000,GA2000DHS,FE_FRTR_W_A10,11763005,I,407002,1407020,Region,North,0,,0,1,FEFRTRWA10,GADHS2000407002,2000,DHS,,,,,1
GAB,East,826738,Age specific fertility rate: 10-14,9,0,GA,Gabon,2000,GA2000DHS,FE_FRTR_W_A10,11763005,I,407005,1407050,Region,East,0,,0,1,FEFRTRWA10,GADHS2000407005,2000,DHS,,,,,1
GAB,West,826754,Age specific fertility rate: 10-14,6,0,GA,Gabon,2000,GA2000DHS,FE_FRTR_W_A10,11763005,I,407008,1407080,Region,West,0,,0,1,FEFRTRWA10,GADHS2000407008,2000,DHS,,,,,1
GAB,South,835304,Age specific fertility rate: 10-14,12,0,GA,Gabon,2000,GA2000DHS,FE_FRTR_W_A10,11763005,I,407012,1407120,Region,South,0,,0,1,FEFRTRWA10,GADHS2000407012,2000,DHS,,,,,1
GAB,"Libreville,Port-Gentil",819904,Age specific fertility rate: 15-19,114,0,GA,Gabon,2000,GA2000DHS,FE_FRTR_W_A15,11763010,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,FEFRTRWA15,GADHS2000407001,2000,DHS,,,,,1
GAB,North,835263,Age specific fertility rate: 15-19,199,0,GA,Gabon,2000,GA2000DHS,FE_FRTR_W_A15,11763010,I,407002,1407020,Region,North,0,,0,1,FEFRTRWA15,GADHS2000407002,2000,DHS,,,,,1
GAB,East,826739,Age specific fertility rate: 15-19,166,0,GA,Gabon,2000,GA2000DHS,FE_FRTR_W_A15,11763010,I,407005,1407050,Region,East,0,,0,1,FEFRTRWA15,GADHS2000407005,2000,DHS,,,,,1
GAB,West,826755,Age specific fertility rate: 15-19,186,0,GA,Gabon,2000,GA2000DHS,FE_FRTR_W_A15,11763010,I,407008,1407080,Region,West,0,,0,1,FEFRTRWA15,GADHS2000407008,2000,DHS,,,,,1
GAB,South,835305,Age specific fertility rate: 15-19,159,0,GA,Gabon,2000,GA2000DHS,FE_FRTR_W_A15,11763010,I,407012,1407120,Region,South,0,,0,1,FEFRTRWA15,GADHS2000407012,2000,DHS,,,,,1
GAB,"Libreville,Port-Gentil",482458,Demand for family planning satisfied by modern methods,25,1,GA,Gabon,2000,GA2000DHS,FP_NADM_W_PDM,32933150,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,FPNADMWPDM,GADHS2000407001,2000,DHS,1154,641,,,1
GAB,North,2247528,Demand for family planning satisfied by modern methods,15.9,1,GA,Gabon,2000,GA2000DHS,FP_NADM_W_PDM,32933150,I,407002,1407020,Region,North,0,,0,1,FPNADMWPDM,GADHS2000407002,2000,DHS,216,311,,,1
GAB,East,6522671,Demand for family planning satisfied by modern methods,22.1,1,GA,Gabon,2000,GA2000DHS,FP_NADM_W_PDM,32933150,I,407005,1407050,Region,East,0,,0,1,FPNADMWPDM,GADHS2000407005,2000,DHS,277,430,,,1
GAB,West,6012001,Demand for family planning satisfied by modern methods,18.2,1,GA,Gabon,2000,GA2000DHS,FP_NADM_W_PDM,32933150,I,407008,1407080,Region,West,0,,0,1,FPNADMWPDM,GADHS2000407008,2000,DHS,209,307,,,1
GAB,South,4099972,Demand for family planning satisfied by modern methods,15.4,1,GA,Gabon,2000,GA2000DHS,FP_NADM_W_PDM,32933150,I,407012,1407120,Region,South,0,,0,1,FPNADMWPDM,GADHS2000407012,2000,DHS,172,339,,,1
GAB,"Libreville,Port-Gentil",482463,Demand for family planning satisfied by modern methods (all women),31.3,1,GA,Gabon,2000,GA2000DHS,FP_NADA_W_PDM,32963150,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,FPNADAWPDM,GADHS2000407001,2000,DHS,2114,1174,,,1
GAB,North,4741719,Demand for family planning satisfied by modern methods (all women),20.6,1,GA,Gabon,2000,GA2000DHS,FP_NADA_W_PDM,32963150,I,407002,1407020,Region,North,0,,0,1,FPNADAWPDM,GADHS2000407002,2000,DHS,347,495,,,1
