ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GAB,"Libreville,Port-Gentil",5002283,Women with no education,6,1,GA,Gabon,2000,GA2000DHS,ED_EDUC_W_NED,231203010,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,EDEDUCWNED,GADHS2000407001,2000,DHS,3525,1957,,,1
GAB,North,2415883,Women with no education,2.9,1,GA,Gabon,2000,GA2000DHS,ED_EDUC_W_NED,231203010,I,407002,1407020,Region,North,0,,0,1,EDEDUCWNED,GADHS2000407002,2000,DHS,699,1002,,,1
GAB,East,2230821,Women with no education,6,1,GA,Gabon,2000,GA2000DHS,ED_EDUC_W_NED,231203010,I,407005,1407050,Region,East,0,,0,1,EDEDUCWNED,GADHS2000407005,2000,DHS,811,1273,,,1
GAB,West,229342,Women with no education,5.2,1,GA,Gabon,2000,GA2000DHS,ED_EDUC_W_NED,231203010,I,407008,1407080,Region,West,0,,0,1,EDEDUCWNED,GADHS2000407008,2000,DHS,592,868,,,1
GAB,South,2738943,Women with no education,7.2,1,GA,Gabon,2000,GA2000DHS,ED_EDUC_W_NED,231203010,I,407012,1407120,Region,South,0,,0,1,EDEDUCWNED,GADHS2000407012,2000,DHS,556,1083,,,1
GAB,"Libreville,Port-Gentil",5002287,Women with primary education,24.5,1,GA,Gabon,2000,GA2000DHS,ED_EDUC_W_PRI,231203090,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,EDEDUCWPRI,GADHS2000407001,2000,DHS,3525,1957,,,1
GAB,North,2415880,Women with primary education,51.6,1,GA,Gabon,2000,GA2000DHS,ED_EDUC_W_PRI,231203090,I,407002,1407020,Region,North,0,,0,1,EDEDUCWPRI,GADHS2000407002,2000,DHS,699,1002,,,1
GAB,East,2230794,Women with primary education,47.6,1,GA,Gabon,2000,GA2000DHS,ED_EDUC_W_PRI,231203090,I,407005,1407050,Region,East,0,,0,1,EDEDUCWPRI,GADHS2000407005,2000,DHS,811,1273,,,1
GAB,West,229344,Women with primary education,48.9,1,GA,Gabon,2000,GA2000DHS,ED_EDUC_W_PRI,231203090,I,407008,1407080,Region,West,0,,0,1,EDEDUCWPRI,GADHS2000407008,2000,DHS,592,868,,,1
GAB,South,2738940,Women with primary education,54.8,1,GA,Gabon,2000,GA2000DHS,ED_EDUC_W_PRI,231203090,I,407012,1407120,Region,South,0,,0,1,EDEDUCWPRI,GADHS2000407012,2000,DHS,556,1083,,,1
GAB,"Libreville,Port-Gentil",5002288,Women with secondary or higher education,69.5,1,GA,Gabon,2000,GA2000DHS,ED_EDUC_W_SEH,231203100,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,EDEDUCWSEH,GADHS2000407001,2000,DHS,3525,1957,,,1
GAB,North,2415881,Women with secondary or higher education,45.6,1,GA,Gabon,2000,GA2000DHS,ED_EDUC_W_SEH,231203100,I,407002,1407020,Region,North,0,,0,1,EDEDUCWSEH,GADHS2000407002,2000,DHS,699,1002,,,1
GAB,East,2230795,Women with secondary or higher education,46.4,1,GA,Gabon,2000,GA2000DHS,ED_EDUC_W_SEH,231203100,I,407005,1407050,Region,East,0,,0,1,EDEDUCWSEH,GADHS2000407005,2000,DHS,811,1273,,,1
GAB,West,229345,Women with secondary or higher education,45.9,1,GA,Gabon,2000,GA2000DHS,ED_EDUC_W_SEH,231203100,I,407008,1407080,Region,West,0,,0,1,EDEDUCWSEH,GADHS2000407008,2000,DHS,592,868,,,1
GAB,South,2738941,Women with secondary or higher education,38,1,GA,Gabon,2000,GA2000DHS,ED_EDUC_W_SEH,231203100,I,407012,1407120,Region,South,0,,0,1,EDEDUCWSEH,GADHS2000407012,2000,DHS,556,1083,,,1
GAB,"Libreville,Port-Gentil",219951,Men with no education,9.8,1,GA,Gabon,2000,GA2000DHS,ED_EDUC_M_NED,231204140,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,EDEDUCMNED,GADHS2000407001,2000,DHS,1045,549,,,1
