ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GAB,"Libreville,Port-Gentil",5002288,Women with secondary or higher education,69.5,1,GA,Gabon,2000,GA2000DHS,ED_EDUC_W_SEH,231203100,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,EDEDUCWSEH,GADHS2000407001,2000,DHS,3525,1957,,,1
GAB,North,2415881,Women with secondary or higher education,45.6,1,GA,Gabon,2000,GA2000DHS,ED_EDUC_W_SEH,231203100,I,407002,1407020,Region,North,0,,0,1,EDEDUCWSEH,GADHS2000407002,2000,DHS,699,1002,,,1
GAB,East,2230795,Women with secondary or higher education,46.4,1,GA,Gabon,2000,GA2000DHS,ED_EDUC_W_SEH,231203100,I,407005,1407050,Region,East,0,,0,1,EDEDUCWSEH,GADHS2000407005,2000,DHS,811,1273,,,1
GAB,West,229345,Women with secondary or higher education,45.9,1,GA,Gabon,2000,GA2000DHS,ED_EDUC_W_SEH,231203100,I,407008,1407080,Region,West,0,,0,1,EDEDUCWSEH,GADHS2000407008,2000,DHS,592,868,,,1
GAB,South,2738941,Women with secondary or higher education,38,1,GA,Gabon,2000,GA2000DHS,ED_EDUC_W_SEH,231203100,I,407012,1407120,Region,South,0,,0,1,EDEDUCWSEH,GADHS2000407012,2000,DHS,556,1083,,,1
GAB,"Libreville,Port-Gentil",219954,Men with secondary or higher education,78,1,GA,Gabon,2000,GA2000DHS,ED_EDUC_M_SEH,231204230,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,EDEDUCMSEH,GADHS2000407001,2000,DHS,1045,549,,,1
GAB,North,5077251,Men with secondary or higher education,68.1,1,GA,Gabon,2000,GA2000DHS,ED_EDUC_M_SEH,231204230,I,407002,1407020,Region,North,0,,0,1,EDEDUCMSEH,GADHS2000407002,2000,DHS,199,294,,,1
GAB,East,4293746,Men with secondary or higher education,62.3,1,GA,Gabon,2000,GA2000DHS,ED_EDUC_M_SEH,231204230,I,407005,1407050,Region,East,0,,0,1,EDEDUCMSEH,GADHS2000407005,2000,DHS,245,398,,,1
GAB,West,229384,Men with secondary or higher education,65.6,1,GA,Gabon,2000,GA2000DHS,ED_EDUC_M_SEH,231204230,I,407008,1407080,Region,West,0,,0,1,EDEDUCMSEH,GADHS2000407008,2000,DHS,203,294,,,1
