ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GAB,"Libreville,Port-Gentil",3259764,Children stunted,16.1,1,GA,Gabon,2000,GA2000DHS,CN_NUTS_C_HA2,104236020,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,CNNUTSCHA2,GADHS2000407001,2000,DHS,1342,745,,,1
GAB,North,3169447,Children stunted,38.2,1,GA,Gabon,2000,GA2000DHS,CN_NUTS_C_HA2,104236020,I,407002,1407020,Region,North,0,,0,1,CNNUTSCHA2,GADHS2000407002,2000,DHS,422,608,,,1
GAB,East,5330466,Children stunted,33.9,1,GA,Gabon,2000,GA2000DHS,CN_NUTS_C_HA2,104236020,I,407005,1407050,Region,East,0,,0,1,CNNUTSCHA2,GADHS2000407005,2000,DHS,534,848,,,1
GAB,West,4520991,Children stunted,22,1,GA,Gabon,2000,GA2000DHS,CN_NUTS_C_HA2,104236020,I,407008,1407080,Region,West,0,,0,1,CNNUTSCHA2,GADHS2000407008,2000,DHS,393,570,,,1
GAB,South,5521683,Children stunted,33.9,1,GA,Gabon,2000,GA2000DHS,CN_NUTS_C_HA2,104236020,I,407012,1407120,Region,South,0,,0,1,CNNUTSCHA2,GADHS2000407012,2000,DHS,338,672,,,1
GAB,"Libreville,Port-Gentil",6595696,Children wasted,4.2,1,GA,Gabon,2000,GA2000DHS,CN_NUTS_C_WH2,104236050,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,CNNUTSCWH2,GADHS2000407001,2000,DHS,1342,745,,,1
GAB,North,3396714,Children wasted,2.3,1,GA,Gabon,2000,GA2000DHS,CN_NUTS_C_WH2,104236050,I,407002,1407020,Region,North,0,,0,1,CNNUTSCWH2,GADHS2000407002,2000,DHS,422,608,,,1
GAB,East,2633720,Children wasted,4.6,1,GA,Gabon,2000,GA2000DHS,CN_NUTS_C_WH2,104236050,I,407005,1407050,Region,East,0,,0,1,CNNUTSCWH2,GADHS2000407005,2000,DHS,534,848,,,1
GAB,West,3578194,Children wasted,3.9,1,GA,Gabon,2000,GA2000DHS,CN_NUTS_C_WH2,104236050,I,407008,1407080,Region,West,0,,0,1,CNNUTSCWH2,GADHS2000407008,2000,DHS,393,570,,,1
GAB,South,204908,Children wasted,4.6,1,GA,Gabon,2000,GA2000DHS,CN_NUTS_C_WH2,104236050,I,407012,1407120,Region,South,0,,0,1,CNNUTSCWH2,GADHS2000407012,2000,DHS,338,672,,,1
GAB,"Libreville,Port-Gentil",6595697,Children overweight,6.4,1,GA,Gabon,2000,GA2000DHS,CN_NUTS_C_WHP,104236060,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,CNNUTSCWHP,GADHS2000407001,2000,DHS,1342,745,,,1
GAB,North,3396748,Children overweight,3.3,1,GA,Gabon,2000,GA2000DHS,CN_NUTS_C_WHP,104236060,I,407002,1407020,Region,North,0,,0,1,CNNUTSCWHP,GADHS2000407002,2000,DHS,422,608,,,1
GAB,East,2633722,Children overweight,5.3,1,GA,Gabon,2000,GA2000DHS,CN_NUTS_C_WHP,104236060,I,407005,1407050,Region,East,0,,0,1,CNNUTSCWHP,GADHS2000407005,2000,DHS,534,848,,,1
GAB,West,3578195,Children overweight,4.3,1,GA,Gabon,2000,GA2000DHS,CN_NUTS_C_WHP,104236060,I,407008,1407080,Region,West,0,,0,1,CNNUTSCWHP,GADHS2000407008,2000,DHS,393,570,,,1
GAB,South,204909,Children overweight,4.1,1,GA,Gabon,2000,GA2000DHS,CN_NUTS_C_WHP,104236060,I,407012,1407120,Region,South,0,,0,1,CNNUTSCWHP,GADHS2000407012,2000,DHS,338,672,,,1
GAB,"Libreville,Port-Gentil",187284,Children who started breastfeeding within 1 hour of birth,45.9,1,GA,Gabon,2000,GA2000DHS,CN_BRFI_C_1HR,104266020,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,CNBRFIC1HR,GADHS2000407001,2000,DHS,753,418,,,1
GAB,North,2568803,Children who started breastfeeding within 1 hour of birth,70.7,1,GA,Gabon,2000,GA2000DHS,CN_BRFI_C_1HR,104266020,I,407002,1407020,Region,North,0,,0,1,CNBRFIC1HR,GADHS2000407002,2000,DHS,231,332,,,1
GAB,East,4059795,Children who started breastfeeding within 1 hour of birth,85.9,1,GA,Gabon,2000,GA2000DHS,CN_BRFI_C_1HR,104266020,I,407005,1407050,Region,East,0,,0,1,CNBRFIC1HR,GADHS2000407005,2000,DHS,258,409,,,1
GAB,West,2667742,Children who started breastfeeding within 1 hour of birth,69.9,1,GA,Gabon,2000,GA2000DHS,CN_BRFI_C_1HR,104266020,I,407008,1407080,Region,West,0,,0,1,CNBRFIC1HR,GADHS2000407008,2000,DHS,190,276,,,1
GAB,South,5186082,Children who started breastfeeding within 1 hour of birth,62.4,1,GA,Gabon,2000,GA2000DHS,CN_BRFI_C_1HR,104266020,I,407012,1407120,Region,South,0,,0,1,CNBRFIC1HR,GADHS2000407012,2000,DHS,173,341,,,1
GAB,"Libreville,Port-Gentil",187308,Households with iodized salt,16.4,1,GA,Gabon,2000,GA2000DHS,CN_IODZ_H_IOD,104531050,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,CNIODZHIOD,GADHS2000407001,2000,DHS,2652,1454,,,1
GAB,North,4310394,Households with iodized salt,20.6,1,GA,Gabon,2000,GA2000DHS,CN_IODZ_H_IOD,104531050,I,407002,1407020,Region,North,0,,0,1,CNIODZHIOD,GADHS2000407002,2000,DHS,698,898,,,1
GAB,East,5474456,Households with iodized salt,25.9,1,GA,Gabon,2000,GA2000DHS,CN_IODZ_H_IOD,104531050,I,407005,1407050,Region,East,0,,0,1,CNIODZHIOD,GADHS2000407005,2000,DHS,773,1103,,,1
GAB,West,196608,Households with iodized salt,13.8,1,GA,Gabon,2000,GA2000DHS,CN_IODZ_H_IOD,104531050,I,407008,1407080,Region,West,0,,0,1,CNIODZHIOD,GADHS2000407008,2000,DHS,595,823,,,1
GAB,South,5076317,Households with iodized salt,10.9,1,GA,Gabon,2000,GA2000DHS,CN_IODZ_H_IOD,104531050,I,407012,1407120,Region,South,0,,0,1,CNIODZHIOD,GADHS2000407012,2000,DHS,561,1014,,,1
GAB,"Libreville,Port-Gentil",187328,Women who are thin according to BMI (<18.5),5.7,1,GA,Gabon,2000,GA2000DHS,AN_NUTS_W_THN,114563060,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,ANNUTSWTHN,GADHS2000407001,2000,DHS,1100,611,,,1
GAB,North,4198869,Women who are thin according to BMI (<18.5),3.7,1,GA,Gabon,2000,GA2000DHS,AN_NUTS_W_THN,114563060,I,407002,1407020,Region,North,0,,0,1,ANNUTSWTHN,GADHS2000407002,2000,DHS,276,396,,,1
GAB,East,5217482,Women who are thin according to BMI (<18.5),7.7,1,GA,Gabon,2000,GA2000DHS,AN_NUTS_W_THN,114563060,I,407005,1407050,Region,East,0,,0,1,ANNUTSWTHN,GADHS2000407005,2000,DHS,335,530,,,1
