ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GAB,"Libreville,Port-Gentil",329182,Median age at first sexual intercourse [Women]: 20-24,16.5,1,GA,Gabon,2000,GA2000DHS,SX_AAFS_W_M20,51703020,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,SXAAFSWM20,GADHS2000407001,2000,DHS,,,,,1
GAB,North,344769,Median age at first sexual intercourse [Women]: 20-24,15.5,1,GA,Gabon,2000,GA2000DHS,SX_AAFS_W_M20,51703020,I,407002,1407020,Region,North,0,,0,1,SXAAFSWM20,GADHS2000407002,2000,DHS,,,,,1
GAB,East,336108,Median age at first sexual intercourse [Women]: 20-24,15.9,1,GA,Gabon,2000,GA2000DHS,SX_AAFS_W_M20,51703020,I,407005,1407050,Region,East,0,,0,1,SXAAFSWM20,GADHS2000407005,2000,DHS,,,,,1
GAB,West,336086,Median age at first sexual intercourse [Women]: 20-24,16,1,GA,Gabon,2000,GA2000DHS,SX_AAFS_W_M20,51703020,I,407008,1407080,Region,West,0,,0,1,SXAAFSWM20,GADHS2000407008,2000,DHS,,,,,1
GAB,South,344784,Median age at first sexual intercourse [Women]: 20-24,15.9,1,GA,Gabon,2000,GA2000DHS,SX_AAFS_W_M20,51703020,I,407012,1407120,Region,South,0,,0,1,SXAAFSWM20,GADHS2000407012,2000,DHS,,,,,1
GAB,"Libreville,Port-Gentil",329183,Median age at first sexual intercourse [Women]: 25-29,16.5,1,GA,Gabon,2000,GA2000DHS,SX_AAFS_W_M25,51703030,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,SXAAFSWM25,GADHS2000407001,2000,DHS,,,,,1
GAB,North,344770,Median age at first sexual intercourse [Women]: 25-29,15.6,1,GA,Gabon,2000,GA2000DHS,SX_AAFS_W_M25,51703030,I,407002,1407020,Region,North,0,,0,1,SXAAFSWM25,GADHS2000407002,2000,DHS,,,,,1
GAB,East,336109,Median age at first sexual intercourse [Women]: 25-29,16.1,1,GA,Gabon,2000,GA2000DHS,SX_AAFS_W_M25,51703030,I,407005,1407050,Region,East,0,,0,1,SXAAFSWM25,GADHS2000407005,2000,DHS,,,,,1
GAB,West,336087,Median age at first sexual intercourse [Women]: 25-29,16,1,GA,Gabon,2000,GA2000DHS,SX_AAFS_W_M25,51703030,I,407008,1407080,Region,West,0,,0,1,SXAAFSWM25,GADHS2000407008,2000,DHS,,,,,1
GAB,South,344791,Median age at first sexual intercourse [Women]: 25-29,15.8,1,GA,Gabon,2000,GA2000DHS,SX_AAFS_W_M25,51703030,I,407012,1407120,Region,South,0,,0,1,SXAAFSWM25,GADHS2000407012,2000,DHS,,,,,1
GAB,"Libreville,Port-Gentil",329184,Median age at first sexual intercourse [Women]: 30-34,16.4,1,GA,Gabon,2000,GA2000DHS,SX_AAFS_W_M30,51703040,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,SXAAFSWM30,GADHS2000407001,2000,DHS,,,,,1
GAB,North,344771,Median age at first sexual intercourse [Women]: 30-34,15.6,1,GA,Gabon,2000,GA2000DHS,SX_AAFS_W_M30,51703040,I,407002,1407020,Region,North,0,,0,1,SXAAFSWM30,GADHS2000407002,2000,DHS,,,,,1
GAB,East,336110,Median age at first sexual intercourse [Women]: 30-34,15.8,1,GA,Gabon,2000,GA2000DHS,SX_AAFS_W_M30,51703040,I,407005,1407050,Region,East,0,,0,1,SXAAFSWM30,GADHS2000407005,2000,DHS,,,,,1
GAB,West,336088,Median age at first sexual intercourse [Women]: 30-34,16.1,1,GA,Gabon,2000,GA2000DHS,SX_AAFS_W_M30,51703040,I,407008,1407080,Region,West,0,,0,1,SXAAFSWM30,GADHS2000407008,2000,DHS,,,,,1
GAB,South,344792,Median age at first sexual intercourse [Women]: 30-34,15.8,1,GA,Gabon,2000,GA2000DHS,SX_AAFS_W_M30,51703040,I,407012,1407120,Region,South,0,,0,1,SXAAFSWM30,GADHS2000407012,2000,DHS,,,,,1
GAB,"Libreville,Port-Gentil",329185,Median age at first sexual intercourse [Women]: 35-39,16.8,1,GA,Gabon,2000,GA2000DHS,SX_AAFS_W_M35,51703050,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,SXAAFSWM35,GADHS2000407001,2000,DHS,,,,,1
GAB,North,344772,Median age at first sexual intercourse [Women]: 35-39,15.4,1,GA,Gabon,2000,GA2000DHS,SX_AAFS_W_M35,51703050,I,407002,1407020,Region,North,0,,0,1,SXAAFSWM35,GADHS2000407002,2000,DHS,,,,,1
GAB,East,336111,Median age at first sexual intercourse [Women]: 35-39,15.6,1,GA,Gabon,2000,GA2000DHS,SX_AAFS_W_M35,51703050,I,407005,1407050,Region,East,0,,0,1,SXAAFSWM35,GADHS2000407005,2000,DHS,,,,,1
