ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GAB,"Libreville,Port-Gentil",4691927,Using social marketing brand of pill,100,1,GA,Gabon,2019,GA2019DHS,FP_SOCM_W_PIL,32763010,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,FPSOCMWPIL,GADHS2019407001,2019-21,DHS,122,47,,,
GAB,Port-Gentil,5393189,Using social marketing brand of pill,100,1,GA,Gabon,2019,GA2019DHS,FP_SOCM_W_PIL,32763010,I,407016,1407016,Region,..Port-Gentil,0,,0,1,FPSOCMWPIL,GADHS2019407016,2019-21,DHS,32,26,,,1
GAB,North,6410399,Using social marketing brand of pill,100,1,GA,Gabon,2019,GA2019DHS,FP_SOCM_W_PIL,32763010,I,407002,1407020,Region,North,0,,0,1,FPSOCMWPIL,GADHS2019407002,2019-21,DHS,21,37,,,
GAB,East,2387775,Using social marketing brand of pill,100,1,GA,Gabon,2019,GA2019DHS,FP_SOCM_W_PIL,32763010,I,407005,1407050,Region,East,0,,0,1,FPSOCMWPIL,GADHS2019407005,2019-21,DHS,21,31,,,
GAB,West,6316695,Using social marketing brand of pill,100,1,GA,Gabon,2019,GA2019DHS,FP_SOCM_W_PIL,32763010,I,407008,1407080,Region,West,0,,0,1,FPSOCMWPIL,GADHS2019407008,2019-21,DHS,23,36,,,
GAB,"Libreville,Port-Gentil",4693241,Number of women using pills,122,0,GA,Gabon,2019,GA2019DHS,FP_SOCM_W_NPL,32763020,D,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,FPSOCMWNPL,GADHS2019407001,2019-21,DHS,,47,,,
GAB,Port-Gentil,5393190,Number of women using pills,32,0,GA,Gabon,2019,GA2019DHS,FP_SOCM_W_NPL,32763020,D,407016,1407016,Region,..Port-Gentil,0,,0,1,FPSOCMWNPL,GADHS2019407016,2019-21,DHS,,26,,,1
GAB,North,6410333,Number of women using pills,21,0,GA,Gabon,2019,GA2019DHS,FP_SOCM_W_NPL,32763020,D,407002,1407020,Region,North,0,,0,1,FPSOCMWNPL,GADHS2019407002,2019-21,DHS,,37,,,
GAB,East,2014585,Number of women using pills,21,0,GA,Gabon,2019,GA2019DHS,FP_SOCM_W_NPL,32763020,D,407005,1407050,Region,East,0,,0,1,FPSOCMWNPL,GADHS2019407005,2019-21,DHS,,31,,,
GAB,West,6297699,Number of women using pills,23,0,GA,Gabon,2019,GA2019DHS,FP_SOCM_W_NPL,32763020,D,407008,1407080,Region,West,0,,0,1,FPSOCMWNPL,GADHS2019407008,2019-21,DHS,,36,,,
GAB,"Libreville,Port-Gentil",2145580,Number of women using pills (unweighted),47,0,GA,Gabon,2019,GA2019DHS,FP_SOCM_W_UPL,32763030,U,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,FPSOCMWUPL,GADHS2019407001,2019-21,DHS,122,,,,
GAB,Libreville,1099673,Number of women using pills (unweighted),21,0,GA,Gabon,2019,GA2019DHS,FP_SOCM_W_UPL,32763030,U,407015,1407013,Region,..Libreville,0,,0,1,FPSOCMWUPL,GADHS2019407015,2019-21,DHS,90,,,,1
GAB,Port-Gentil,2018906,Number of women using pills (unweighted),26,0,GA,Gabon,2019,GA2019DHS,FP_SOCM_W_UPL,32763030,U,407016,1407016,Region,..Port-Gentil,0,,0,1,FPSOCMWUPL,GADHS2019407016,2019-21,DHS,32,,,,1
GAB,North,2026276,Number of women using pills (unweighted),37,0,GA,Gabon,2019,GA2019DHS,FP_SOCM_W_UPL,32763030,U,407002,1407020,Region,North,0,,0,1,FPSOCMWUPL,GADHS2019407002,2019-21,DHS,21,,,,
GAB,Ogooué Ivindo,955577,Number of women using pills (unweighted),17,0,GA,Gabon,2019,GA2019DHS,FP_SOCM_W_UPL,32763030,U,407003,1407030,Region,..Ogooué Ivindo,0,,0,1,FPSOCMWUPL,GADHS2019407003,2019-21,DHS,5,,,,1
GAB,Woleu Ntem,2020370,Number of women using pills (unweighted),20,0,GA,Gabon,2019,GA2019DHS,FP_SOCM_W_UPL,32763030,U,407004,1407040,Region,..Woleu Ntem,0,,0,1,FPSOCMWUPL,GADHS2019407004,2019-21,DHS,16,,,,1
GAB,East,2387723,Number of women using pills (unweighted),31,0,GA,Gabon,2019,GA2019DHS,FP_SOCM_W_UPL,32763030,U,407005,1407050,Region,East,0,,0,1,FPSOCMWUPL,GADHS2019407005,2019-21,DHS,21,,,,
GAB,Ogooué-Lolo,2020374,Number of women using pills (unweighted),16,0,GA,Gabon,2019,GA2019DHS,FP_SOCM_W_UPL,32763030,U,407006,1407060,Region,..Ogooué-Lolo,0,,0,1,FPSOCMWUPL,GADHS2019407006,2019-21,DHS,4,,,,1
GAB,Haut-Ogooué,2014612,Number of women using pills (unweighted),15,0,GA,Gabon,2019,GA2019DHS,FP_SOCM_W_UPL,32763030,U,407007,1407070,Region,..Haut-Ogooué,0,,0,1,FPSOCMWUPL,GADHS2019407007,2019-21,DHS,17,,,,1
GAB,West,3428140,Number of women using pills (unweighted),36,0,GA,Gabon,2019,GA2019DHS,FP_SOCM_W_UPL,32763030,U,407008,1407080,Region,West,0,,0,1,FPSOCMWUPL,GADHS2019407008,2019-21,DHS,23,,,,
GAB,Estuaire (excluding Libreville),2269166,Number of women using pills (unweighted),14,0,GA,Gabon,2019,GA2019DHS,FP_SOCM_W_UPL,32763030,U,407009,1407090,Region,..Estuaire (excluding Libreville),0,,0,1,FPSOCMWUPL,GADHS2019407009,2019-21,DHS,18,,,,1
GAB,Moyen-Ogooué,2381512,Number of women using pills (unweighted),7,0,GA,Gabon,2019,GA2019DHS,FP_SOCM_W_UPL,32763030,U,407010,1407100,Region,..Moyen-Ogooué,0,,0,1,FPSOCMWUPL,GADHS2019407010,2019-21,DHS,3,,,,1
GAB,Ogooué-Maritime (excluding Port-Gentil),3393256,Number of women using pills (unweighted),15,0,GA,Gabon,2019,GA2019DHS,FP_SOCM_W_UPL,32763030,U,407011,1407110,Region,..Ogooué-Maritime (excluding Port-Gentil),0,,0,1,FPSOCMWUPL,GADHS2019407011,2019-21,DHS,2,,,,1
GAB,South,2301409,Number of women using pills (unweighted),16,0,GA,Gabon,2019,GA2019DHS,FP_SOCM_W_UPL,32763030,U,407012,1407120,Region,South,0,,0,1,FPSOCMWUPL,GADHS2019407012,2019-21,DHS,9,,,,
GAB,Ngounié,2702317,Number of women using pills (unweighted),11,0,GA,Gabon,2019,GA2019DHS,FP_SOCM_W_UPL,32763030,U,407013,1407130,Region,..Ngounié,0,,0,1,FPSOCMWUPL,GADHS2019407013,2019-21,DHS,8,,,,1
GAB,Nyanga,2572316,Number of women using pills (unweighted),5,0,GA,Gabon,2019,GA2019DHS,FP_SOCM_W_UPL,32763030,U,407014,1407140,Region,..Nyanga,0,,0,1,FPSOCMWUPL,GADHS2019407014,2019-21,DHS,2,,,,1
GAB,"Libreville,Port-Gentil",3385299,Using social marketing brand of condom,100,1,GA,Gabon,2019,GA2019DHS,FP_SOCM_W_CON,32763040,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,FPSOCMWCON,GADHS2019407001,2019-21,DHS,620,211,,,
GAB,Libreville,2026247,Using social marketing brand of condom,100,1,GA,Gabon,2019,GA2019DHS,FP_SOCM_W_CON,32763040,I,407015,1407013,Region,..Libreville,0,,0,1,FPSOCMWCON,GADHS2019407015,2019-21,DHS,529,129,,,1
