ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GAB,"Libreville,Port-Gentil",1882811,Children with symptoms of ARI,17,1,GA,Gabon,2000,GA2000DHS,CH_ARIS_C_ARI,93966010,I,407001,1407010,Region,"Libreville,Port-Gentil",14000,Three years preceding the survey,0,0,CHARISCARI,GADHS2000407001,2000,DHS,1099,610,,,1
GAB,"Libreville,Port-Gentil",3804496,Children with symptoms of ARI,14.4,1,GA,Gabon,2000,GA2000DHS,CH_ARIS_C_ARI,93966010,I,407001,1407010,Region,"Libreville,Port-Gentil",14001,Five years preceding the survey,0,1,CHARISCARI,GADHS2000407001,2000,DHS,1814,1007,,,1
GAB,North,1888119,Children with symptoms of ARI,15.3,1,GA,Gabon,2000,GA2000DHS,CH_ARIS_C_ARI,93966010,I,407002,1407020,Region,North,14000,Three years preceding the survey,0,0,CHARISCARI,GADHS2000407002,2000,DHS,319,459,,,1
GAB,North,5861437,Children with symptoms of ARI,12.8,1,GA,Gabon,2000,GA2000DHS,CH_ARIS_C_ARI,93966010,I,407002,1407020,Region,North,14001,Five years preceding the survey,0,1,CHARISCARI,GADHS2000407002,2000,DHS,501,721,,,1
GAB,East,4607395,Children with symptoms of ARI,13.6,1,GA,Gabon,2000,GA2000DHS,CH_ARIS_C_ARI,93966010,I,407005,1407050,Region,East,14000,Three years preceding the survey,0,0,CHARISCARI,GADHS2000407005,2000,DHS,382,604,,,1
GAB,East,3972712,Children with symptoms of ARI,12.3,1,GA,Gabon,2000,GA2000DHS,CH_ARIS_C_ARI,93966010,I,407005,1407050,Region,East,14001,Five years preceding the survey,0,1,CHARISCARI,GADHS2000407005,2000,DHS,593,939,,,1
GAB,West,668625,Children with symptoms of ARI,9.6,1,GA,Gabon,2000,GA2000DHS,CH_ARIS_C_ARI,93966010,I,407008,1407080,Region,West,14000,Three years preceding the survey,0,0,CHARISCARI,GADHS2000407008,2000,DHS,277,399,,,1
GAB,West,3635860,Children with symptoms of ARI,8.6,1,GA,Gabon,2000,GA2000DHS,CH_ARIS_C_ARI,93966010,I,407008,1407080,Region,West,14001,Five years preceding the survey,0,1,CHARISCARI,GADHS2000407008,2000,DHS,456,663,,,1
GAB,South,3818374,Children with symptoms of ARI,14.2,1,GA,Gabon,2000,GA2000DHS,CH_ARIS_C_ARI,93966010,I,407012,1407120,Region,South,14000,Three years preceding the survey,0,0,CHARISCARI,GADHS2000407012,2000,DHS,248,491,,,1
