ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GAB,"Libreville,Port-Gentil",5505625,Women who smoke cigarettes,3.3,1,GA,Gabon,2012,GA2012DHS,AH_TOBC_W_CIG,151433010,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,AHTOBCWCIG,GADHS2012407001,2012,DHS,4974,1557,,,1
GAB,North,229630,Women who smoke cigarettes,1.4,1,GA,Gabon,2012,GA2012DHS,AH_TOBC_W_CIG,151433010,I,407002,1407020,Region,North,0,,0,1,AHTOBCWCIG,GADHS2012407002,2012,DHS,635,1621,,,
GAB,Ogooué Ivindo,6319308,Women who smoke cigarettes,1.6,1,GA,Gabon,2012,GA2012DHS,AH_TOBC_W_CIG,151433010,I,407003,1407030,Region,..Ogooué Ivindo,0,,0,1,AHTOBCWCIG,GADHS2012407003,2012,DHS,249,984,,,1
GAB,Woleu Ntem,3437388,Women who smoke cigarettes,1.2,1,GA,Gabon,2012,GA2012DHS,AH_TOBC_W_CIG,151433010,I,407004,1407040,Region,..Woleu Ntem,0,,0,1,AHTOBCWCIG,GADHS2012407004,2012,DHS,386,637,,,1
GAB,East,5458345,Women who smoke cigarettes,1.9,1,GA,Gabon,2012,GA2012DHS,AH_TOBC_W_CIG,151433010,I,407005,1407050,Region,East,0,,0,1,AHTOBCWCIG,GADHS2012407005,2012,DHS,977,1616,,,
GAB,Ogooué-Lolo,5943208,Women who smoke cigarettes,4.2,1,GA,Gabon,2012,GA2012DHS,AH_TOBC_W_CIG,151433010,I,407006,1407060,Region,..Ogooué-Lolo,0,,0,1,AHTOBCWCIG,GADHS2012407006,2012,DHS,248,741,,,1
GAB,Haut-Ogooué,3990829,Women who smoke cigarettes,1.1,1,GA,Gabon,2012,GA2012DHS,AH_TOBC_W_CIG,151433010,I,407007,1407070,Region,..Haut-Ogooué,0,,0,1,AHTOBCWCIG,GADHS2012407007,2012,DHS,729,875,,,1
GAB,West,4845769,Women who smoke cigarettes,3.3,1,GA,Gabon,2012,GA2012DHS,AH_TOBC_W_CIG,151433010,I,407008,1407080,Region,West,0,,0,1,AHTOBCWCIG,GADHS2012407008,2012,DHS,1187,2085,,,
GAB,Estuaire (excluding Libreville),3252891,Women who smoke cigarettes,3.7,1,GA,Gabon,2012,GA2012DHS,AH_TOBC_W_CIG,151433010,I,407009,1407090,Region,..Estuaire (excluding Libreville),0,,0,1,AHTOBCWCIG,GADHS2012407009,2012,DHS,876,844,,,1
GAB,Moyen-Ogooué,220203,Women who smoke cigarettes,2.5,1,GA,Gabon,2012,GA2012DHS,AH_TOBC_W_CIG,151433010,I,407010,1407100,Region,..Moyen-Ogooué,0,,0,1,AHTOBCWCIG,GADHS2012407010,2012,DHS,229,681,,,1
GAB,Ogooué-Maritime (excluding Port-Gentil),3787631,Women who smoke cigarettes,1.8,1,GA,Gabon,2012,GA2012DHS,AH_TOBC_W_CIG,151433010,I,407011,1407110,Region,..Ogooué-Maritime (excluding Port-Gentil),0,,0,1,AHTOBCWCIG,GADHS2012407011,2012,DHS,82,560,,,1
GAB,South,6334744,Women who smoke cigarettes,2.2,1,GA,Gabon,2012,GA2012DHS,AH_TOBC_W_CIG,151433010,I,407012,1407120,Region,South,0,,0,1,AHTOBCWCIG,GADHS2012407012,2012,DHS,650,1543,,,
GAB,Ngounié,5148956,Women who smoke cigarettes,2.4,1,GA,Gabon,2012,GA2012DHS,AH_TOBC_W_CIG,151433010,I,407013,1407130,Region,..Ngounié,0,,0,1,AHTOBCWCIG,GADHS2012407013,2012,DHS,467,871,,,1
GAB,Nyanga,5871763,Women who smoke cigarettes,1.5,1,GA,Gabon,2012,GA2012DHS,AH_TOBC_W_CIG,151433010,I,407014,1407140,Region,..Nyanga,0,,0,1,AHTOBCWCIG,GADHS2012407014,2012,DHS,182,672,,,1
