ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GAB,"Libreville,Port-Gentil",4561737,Households using an improved water source,99.7,1,GA,Gabon,2000,GA2000DHS,WS_SRCE_H_IMP,250161010,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,WSSRCEHIMP,GADHS2000407001,2000,DHS,3132,1717,,,1
GAB,North,3707809,Households using an improved water source,44.7,1,GA,Gabon,2000,GA2000DHS,WS_SRCE_H_IMP,250161010,I,407002,1407020,Region,North,0,,0,1,WSSRCEHIMP,GADHS2000407002,2000,DHS,797,1025,,,1
GAB,East,1465117,Households using an improved water source,64.6,1,GA,Gabon,2000,GA2000DHS,WS_SRCE_H_IMP,250161010,I,407005,1407050,Region,East,0,,0,1,WSSRCEHIMP,GADHS2000407005,2000,DHS,945,1345,,,1
GAB,West,6523920,Households using an improved water source,59.5,1,GA,Gabon,2000,GA2000DHS,WS_SRCE_H_IMP,250161010,I,407008,1407080,Region,West,0,,0,1,WSSRCEHIMP,GADHS2000407008,2000,DHS,677,935,,,1
GAB,South,1449491,Households using an improved water source,61.1,1,GA,Gabon,2000,GA2000DHS,WS_SRCE_H_IMP,250161010,I,407012,1407120,Region,South,0,,0,1,WSSRCEHIMP,GADHS2000407012,2000,DHS,652,1181,,,1
GAB,"Libreville,Port-Gentil",4561731,Households using a public tap/standpipe,41,1,GA,Gabon,2000,GA2000DHS,WS_SRCE_H_TAP,250161030,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,WSSRCEHTAP,GADHS2000407001,2000,DHS,3132,1717,,,1
GAB,North,3707803,Households using a public tap/standpipe,13.3,1,GA,Gabon,2000,GA2000DHS,WS_SRCE_H_TAP,250161030,I,407002,1407020,Region,North,0,,0,1,WSSRCEHTAP,GADHS2000407002,2000,DHS,797,1025,,,1
GAB,East,1465115,Households using a public tap/standpipe,26.5,1,GA,Gabon,2000,GA2000DHS,WS_SRCE_H_TAP,250161030,I,407005,1407050,Region,East,0,,0,1,WSSRCEHTAP,GADHS2000407005,2000,DHS,945,1345,,,1
GAB,West,6523914,Households using a public tap/standpipe,27.3,1,GA,Gabon,2000,GA2000DHS,WS_SRCE_H_TAP,250161030,I,407008,1407080,Region,West,0,,0,1,WSSRCEHTAP,GADHS2000407008,2000,DHS,677,935,,,1
GAB,South,1449505,Households using a public tap/standpipe,29.9,1,GA,Gabon,2000,GA2000DHS,WS_SRCE_H_TAP,250161030,I,407012,1407120,Region,South,0,,0,1,WSSRCEHTAP,GADHS2000407012,2000,DHS,652,1181,,,1
GAB,"Libreville,Port-Gentil",4561732,Households using a protected well,0.3,1,GA,Gabon,2000,GA2000DHS,WS_SRCE_H_PWL,250161050,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,WSSRCEHPWL,GADHS2000407001,2000,DHS,3132,1717,,,1
GAB,North,3707804,Households using a protected well,19.5,1,GA,Gabon,2000,GA2000DHS,WS_SRCE_H_PWL,250161050,I,407002,1407020,Region,North,0,,0,1,WSSRCEHPWL,GADHS2000407002,2000,DHS,797,1025,,,1
GAB,East,1465116,Households using a protected well,1.5,1,GA,Gabon,2000,GA2000DHS,WS_SRCE_H_PWL,250161050,I,407005,1407050,Region,East,0,,0,1,WSSRCEHPWL,GADHS2000407005,2000,DHS,945,1345,,,1
GAB,West,6523915,Households using a protected well,3.6,1,GA,Gabon,2000,GA2000DHS,WS_SRCE_H_PWL,250161050,I,407008,1407080,Region,West,0,,0,1,WSSRCEHPWL,GADHS2000407008,2000,DHS,677,935,,,1
GAB,South,1449506,Households using a protected well,17.6,1,GA,Gabon,2000,GA2000DHS,WS_SRCE_H_PWL,250161050,I,407012,1407120,Region,South,0,,0,1,WSSRCEHPWL,GADHS2000407012,2000,DHS,652,1181,,,1
GAB,"Libreville,Port-Gentil",4561724,Households using rainwater,0.1,1,GA,Gabon,2000,GA2000DHS,WS_SRCE_H_RNW,250161070,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,WSSRCEHRNW,GADHS2000407001,2000,DHS,3132,1717,,,1
GAB,North,3707798,Households using rainwater,0.1,1,GA,Gabon,2000,GA2000DHS,WS_SRCE_H_RNW,250161070,I,407002,1407020,Region,North,0,,0,1,WSSRCEHRNW,GADHS2000407002,2000,DHS,797,1025,,,1
GAB,East,1465109,Households using rainwater,0.6,1,GA,Gabon,2000,GA2000DHS,WS_SRCE_H_RNW,250161070,I,407005,1407050,Region,East,0,,0,1,WSSRCEHRNW,GADHS2000407005,2000,DHS,945,1345,,,1
GAB,West,6523907,Households using rainwater,2.8,1,GA,Gabon,2000,GA2000DHS,WS_SRCE_H_RNW,250161070,I,407008,1407080,Region,West,0,,0,1,WSSRCEHRNW,GADHS2000407008,2000,DHS,677,935,,,1
GAB,South,1449512,Households using rainwater,3.6,1,GA,Gabon,2000,GA2000DHS,WS_SRCE_H_RNW,250161070,I,407012,1407120,Region,South,0,,0,1,WSSRCEHRNW,GADHS2000407012,2000,DHS,652,1181,,,1
GAB,"Libreville,Port-Gentil",4561740,Households using bottled water,0.1,1,GA,Gabon,2000,GA2000DHS,WS_SRCE_H_BOT,250161080,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,WSSRCEHBOT,GADHS2000407001,2000,DHS,3132,1717,,,1
GAB,North,3707812,Households using bottled water,0.2,1,GA,Gabon,2000,GA2000DHS,WS_SRCE_H_BOT,250161080,I,407002,1407020,Region,North,0,,0,1,WSSRCEHBOT,GADHS2000407002,2000,DHS,797,1025,,,1
GAB,East,1465120,Households using bottled water,0,1,GA,Gabon,2000,GA2000DHS,WS_SRCE_H_BOT,250161080,I,407005,1407050,Region,East,0,,0,1,WSSRCEHBOT,GADHS2000407005,2000,DHS,945,1345,,,1
GAB,West,6523923,Households using bottled water,0,1,GA,Gabon,2000,GA2000DHS,WS_SRCE_H_BOT,250161080,I,407008,1407080,Region,West,0,,0,1,WSSRCEHBOT,GADHS2000407008,2000,DHS,677,935,,,1
GAB,South,1449500,Households using bottled water,0.1,1,GA,Gabon,2000,GA2000DHS,WS_SRCE_H_BOT,250161080,I,407012,1407120,Region,South,0,,0,1,WSSRCEHBOT,GADHS2000407012,2000,DHS,652,1181,,,1
GAB,"Libreville,Port-Gentil",4561723,Households using an unimproved water source,0.2,1,GA,Gabon,2000,GA2000DHS,WS_SRCE_H_NIM,250161090,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,WSSRCEHNIM,GADHS2000407001,2000,DHS,3132,1717,,,1
GAB,North,3707797,Households using an unimproved water source,55.3,1,GA,Gabon,2000,GA2000DHS,WS_SRCE_H_NIM,250161090,I,407002,1407020,Region,North,0,,0,1,WSSRCEHNIM,GADHS2000407002,2000,DHS,797,1025,,,1
GAB,East,1465108,Households using an unimproved water source,35.1,1,GA,Gabon,2000,GA2000DHS,WS_SRCE_H_NIM,250161090,I,407005,1407050,Region,East,0,,0,1,WSSRCEHNIM,GADHS2000407005,2000,DHS,945,1345,,,1
GAB,West,6523906,Households using an unimproved water source,40.5,1,GA,Gabon,2000,GA2000DHS,WS_SRCE_H_NIM,250161090,I,407008,1407080,Region,West,0,,0,1,WSSRCEHNIM,GADHS2000407008,2000,DHS,677,935,,,1
GAB,South,1449511,Households using an unimproved water source,38.8,1,GA,Gabon,2000,GA2000DHS,WS_SRCE_H_NIM,250161090,I,407012,1407120,Region,South,0,,0,1,WSSRCEHNIM,GADHS2000407012,2000,DHS,652,1181,,,1
GAB,"Libreville,Port-Gentil",4561738,Households using an unprotected well water,0.2,1,GA,Gabon,2000,GA2000DHS,WS_SRCE_H_UWL,250161100,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,WSSRCEHUWL,GADHS2000407001,2000,DHS,3132,1717,,,1
GAB,North,3707810,Households using an unprotected well water,9.5,1,GA,Gabon,2000,GA2000DHS,WS_SRCE_H_UWL,250161100,I,407002,1407020,Region,North,0,,0,1,WSSRCEHUWL,GADHS2000407002,2000,DHS,797,1025,,,1
GAB,East,1465118,Households using an unprotected well water,1.9,1,GA,Gabon,2000,GA2000DHS,WS_SRCE_H_UWL,250161100,I,407005,1407050,Region,East,0,,0,1,WSSRCEHUWL,GADHS2000407005,2000,DHS,945,1345,,,1
GAB,West,6523921,Households using an unprotected well water,3.8,1,GA,Gabon,2000,GA2000DHS,WS_SRCE_H_UWL,250161100,I,407008,1407080,Region,West,0,,0,1,WSSRCEHUWL,GADHS2000407008,2000,DHS,677,935,,,1
GAB,South,1449492,Households using an unprotected well water,2.8,1,GA,Gabon,2000,GA2000DHS,WS_SRCE_H_UWL,250161100,I,407012,1407120,Region,South,0,,0,1,WSSRCEHUWL,GADHS2000407012,2000,DHS,652,1181,,,1
GAB,"Libreville,Port-Gentil",4561728,Households using surface water,0,1,GA,Gabon,2000,GA2000DHS,WS_SRCE_H_SRF,250161130,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,WSSRCEHSRF,GADHS2000407001,2000,DHS,3132,1717,,,1
GAB,North,3707795,Households using surface water,15.8,1,GA,Gabon,2000,GA2000DHS,WS_SRCE_H_SRF,250161130,I,407002,1407020,Region,North,0,,0,1,WSSRCEHSRF,GADHS2000407002,2000,DHS,797,1025,,,1
GAB,East,1465111,Households using surface water,21.7,1,GA,Gabon,2000,GA2000DHS,WS_SRCE_H_SRF,250161130,I,407005,1407050,Region,East,0,,0,1,WSSRCEHSRF,GADHS2000407005,2000,DHS,945,1345,,,1
GAB,West,6523911,Households using surface water,23.9,1,GA,Gabon,2000,GA2000DHS,WS_SRCE_H_SRF,250161130,I,407008,1407080,Region,West,0,,0,1,WSSRCEHSRF,GADHS2000407008,2000,DHS,677,935,,,1
GAB,South,1449516,Households using surface water,29.6,1,GA,Gabon,2000,GA2000DHS,WS_SRCE_H_SRF,250161130,I,407012,1407120,Region,South,0,,0,1,WSSRCEHSRF,GADHS2000407012,2000,DHS,652,1181,,,1
